compression,Page Size,Cluster Size,Cluster Bunch,res_mean,res_std,success,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
lz4,65536,52428800,1,893.48,5.50,True,891.1,890.5,882.9,885.2,898.3,897.1,897.0,896.7,895.9,900.0
lz4,65536,52428800,1,827.65,1.69,False,828.6,829.5,827.5,827.6,825.2,827.6,829.6,826.9,824.5,829.6
lz4,32768,52428800,1,968.73,2.67,True,971.3,967.6,966.5,970.6,965.3,969.8,972.7,964.9,967.0,971.6
lz4,32768,52428800,1,896.04,1.46,False,894.8,897.9,895.1,898.0,895.0,893.9,897.6,894.9,897.5,895.7
lz4,32768,52428800,2,974.42,2.21,True,973.6,972.5,978.7,976.3,976.0,970.6,973.7,972.6,974.9,975.3
none,32768,52428800,2,1165.17,8.63,True,1155.9,1171.6,1171.0,1170.5,1172.2,1171.9,1154.0,1162.6,1148.8,1173.0
none,32768,52428800,2,905.62,6.06,False,906.8,904.3,906.0,908.5,905.5,910.4,908.2,909.7,888.3,908.6
none,32768,52428800,2,906.72,3.99,False,900.0,914.4,906.6,908.5,907.4,909.9,902.5,908.8,902.4,906.5
none,32768,52428800,2,1157.06,8.95,False,1155.9,1162.5,1163.2,1136.1,1166.8,1159.5,1162.9,1158.0,1145.0,1160.7
none,32768,52428800,2,1157.28,10.99,False,1126.5,1153.1,1161.0,1158.3,1158.3,1165.7,1161.3,1158.7,1168.2,1161.7
none,32768,52428800,2,1154.99,5.26,False,1153.2,1160.3,1155.7,1157.2,1164.1,1153.6,1146.9,1157.4,1155.6,1145.8
none,32768,52428800,2,971.93,2.72,False,976.6,975.8,972.1,971.2,969.9,973.3,968.5,969.6,968.7,973.8
none,32768,52428800,2,1020.47,2.08,False,1021.5,1018.7,1022.0,1017.8,1020.9,1016.4,1022.7,1019.9,1022.9,1021.8
none,32768,52428800,2,821.42,12.80,False,829.1,827.4,795.2,830.4,797.7,828.7,826.6,830.5,820.3,828.4
none,32768,52428800,2,636.24,9.98,False,621.0,638.4,631.1,624.3,638.6,638.5,648.1,638.6,628.4,655.5
none,32768,52428800,2,800.56,5.26,False,789.2,805.5,801.3,791.6,801.6,802.1,804.4,803.7,803.8,802.4
none,32768,52428800,2,802.59,4.81,False,794.1,802.5,797.7,802.4,801.4,809.4,810.2,802.8,798.8,806.6
none,32768,52428800,2,701.22,2.73,False,698.9,699.2,704.7,694.9,702.2,702.7,702.6,702.3,700.8,703.8
none,32768,52428800,2,1031.07,59.37,False,855.7,1020.2,1049.9,1056.2,1054.0,1053.1,1051.1,1057.9,1056.1,1056.5
none,32768,52428800,2,802.82,5.62,False,800.6,806.8,804.0,796.2,804.4,809.7,802.5,806.2,807.7,790.0
none,32768,52428800,2,825.19,7.86,False,829.6,824.7,823.4,832.2,823.0,824.8,829.8,828.5,803.7,832.1
none,32768,52428800,2,736.98,1.33,False,736.6,738.3,735.6,735.4,735.8,738.0,738.9,735.6,736.9,738.9
none,32768,52428800,2,1160.58,3.83,False,1155.8,1159.1,1164.0,1154.5,1157.8,1165.1,1157.6,1163.7,1164.3,1164.0
none,32768,52428800,2,623.59,9.31,False,601.9,630.3,620.9,612.4,630.9,625.6,621.3,631.5,629.9,631.1
none,32768,52428800,2,1162.28,3.42,False,1156.0,1164.8,1158.1,1160.4,1161.6,1168.2,1163.5,1165.6,1163.3,1161.4
none,32768,52428800,2,1160.07,3.44,False,1156.1,1163.1,1161.9,1162.4,1159.7,1161.9,1151.6,1163.1,1160.9,1159.9
none,32768,52428800,2,826.65,8.16,False,830.2,832.3,816.9,842.3,818.1,830.2,813.4,827.2,825.1,830.9
zstd,32768,52428800,2,1195.25,17.44,True,1201.7,1203.5,1213.7,1208.1,1186.6,1151.2,1194.5,1213.8,1190.1,1189.4
