compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
lz4,65536,52428800,1,786.57,1091048421,0.0,-0.0,0.0,True,785.2,778.6,788.9,797.3,803.1,775.5,789.6,763.7,798.6,785.2
lz4,65536,104857600,1,1028.92,1091061487,30.811,-0.001,15.405,True,1044.3,1036.3,1035.7,1053.4,1031.9,993.4,1026.5,1024.8,1026.0,1016.9
lz4,32768,104857600,1,900.33,1100447849,14.462,-0.862,6.8,False,915.2,895.2,897.5,895.0,895.7,904.2,908.8,895.2,899.2,897.2
zstd,65536,104857600,1,858.41,874242246,9.134,19.871,14.503,True,856.2,858.5,857.8,858.8,866.4,851.4,857.9,860.1,856.5,860.5
zstd,65536,104857600,2,846.99,874242246,7.681,19.871,13.776,False,844.3,852.5,853.0,848.9,844.2,843.9,844.2,844.0,849.9,845.0
lz4,65536,104857600,1,1012.26,1091061487,28.693,-0.001,14.346,True,1020.7,1005.5,1018.6,1006.9,1014.8,1008.7,1010.1,1013.8,1011.2,1012.3
lz4,65536,104857600,2,1037.93,1091061487,31.956,-0.001,15.977,True,1025.6,1046.3,1031.1,1031.3,1024.8,1052.3,1053.1,1025.9,1032.5,1056.3
lz4,65536,104857600,1,1020.39,1091061487,29.727,-0.001,14.863,True,1032.3,1033.9,1008.1,1028.7,1033.3,1009.6,1013.0,1007.7,1018.7,1018.7
zlib,65536,104857600,1,435.8,770280045,-44.595,29.4,-7.597,False,434.6,436.3,436.5,437.3,433.8,435.8,434.2,436.0,436.9,436.7
zstd,65536,104857600,1,863.14,874242246,9.735,19.871,14.803,True,865.1,861.5,867.2,866.5,863.5,863.6,859.9,862.5,856.7,865.0
zstd,65536,52428800,1,857.39,874246650,9.004,19.871,14.438,True,848.3,853.4,853.8,853.4,854.6,853.6,852.8,860.6,853.7,889.7
zstd,131072,52428800,1,1006.75,875508317,27.993,19.755,23.874,True,1003.6,1005.2,1001.3,998.4,1001.8,1003.5,1049.1,1004.2,1000.7,999.5
none,131072,52428800,1,809.55,3211072280,2.922,-194.311,-95.694,False,830.9,831.7,829.2,825.8,797.2,792.1,797.2,796.0,798.3,797.2
zstd,131072,52428800,2,895.73,875508317,13.878,19.755,16.817,False,991.2,998.1,993.6,836.4,771.6,712.6,691.5,986.9,992.2,983.1
zstd,131072,52428800,2,1002.63,875508317,27.469,19.755,23.612,True,1003.0,1000.1,1006.8,1000.8,1002.3,1002.3,1005.8,1008.4,998.4,998.3
lzma,131072,52428800,2,76.65,627744038,-90.255,42.464,-23.895,False,76.6,76.8,76.5,77.0,76.8,77.1,76.7,76.9,76.0,76.0
lz4,131072,52428800,2,1089.32,1085246802,38.491,0.532,19.511,False,1095.0,1073.5,1100.1,1076.9,1094.9,1098.1,1092.2,1084.7,1092.4,1085.7
zstd,262144,52428800,2,964.91,873129489,22.673,19.973,21.323,False,939.3,844.9,893.1,770.4,860.7,1068.8,1070.8,1064.4,1067.7,1068.9
zstd,131072,104857600,2,1007.62,875531619,28.103,19.753,23.928,True,1008.8,1004.0,1002.8,1008.3,1009.4,1013.1,999.9,1014.2,1007.9,1007.7
none,131072,104857600,2,780.17,3210959178,-0.813,-194.3,-97.557,False,783.2,781.2,779.3,780.4,780.6,777.8,775.8,781.5,777.9,784.1
zstd,131072,104857600,3,966.39,875531619,22.861,19.753,21.307,False,948.9,805.5,992.3,990.9,989.7,984.4,985.7,990.8,986.9,988.7
