compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
lz4,65536,52428800,1,498.52,3464719652,0.0,-0.0,0.0,True,485.6,494.9,504.4,497.0,498.1,492.2,506.2,505.6,510.0,491.0
lz4,65536,52428800,2,540.88,3464719649,8.497,0.0,4.249,True,550.0,534.0,539.1,552.7,537.0,536.5,541.2,540.9,540.2,537.3
lz4,32768,52428800,2,293.46,3527677525,-41.133,-1.817,-21.475,False,291.6,294.6,292.4,293.4,292.6,294.0,293.7,294.8,295.4,292.2
lz4,65536,104857600,2,472.44,3456185337,-5.231,0.246,-2.493,False,472.4,472.5,473.0,472.4,467.7,472.0,471.6,473.8,472.8,476.3
lz4,65536,52428800,3,539.81,3464719649,8.282,0.0,4.141,True,532.4,540.1,531.7,546.4,546.8,530.1,545.0,535.3,542.3,548.1
lz4,32768,52428800,3,287.99,3527677525,-42.232,-1.817,-22.024,False,286.5,289.4,288.1,288.0,287.4,287.4,287.8,288.8,288.5,288.0
none,65536,52428800,3,306.72,8565195206,-38.474,-147.212,-92.843,False,306.4,306.7,306.9,308.0,306.5,307.1,307.0,306.6,306.8,305.2
lz4,65536,41943040,3,515.4,3465749510,3.385,-0.03,1.678,False,515.5,518.2,513.7,512.4,514.2,517.1,511.5,520.7,514.5,516.2
lz4,65536,52428800,4,539.74,3464719649,8.267,0.0,4.134,True,546.5,536.5,533.4,542.7,543.6,542.0,544.9,531.4,537.3,539.0
lz4,65536,41943040,4,513.28,3465749510,2.961,-0.03,1.465,False,510.2,509.4,509.6,512.4,510.5,515.7,516.6,511.8,512.8,523.9
none,65536,52428800,4,310.13,8565195206,-37.79,-147.212,-92.501,False,310.3,310.7,310.0,310.4,310.1,310.1,308.6,310.6,310.5,309.9
lz4,131072,52428800,4,605.66,3415345702,21.492,1.425,11.458,True,602.6,607.4,609.3,605.3,604.1,605.8,602.2,607.3,607.3,605.3
lz4,262144,52428800,4,617.21,3385377777,23.808,2.29,13.049,True,619.3,617.4,616.5,621.6,623.8,609.0,615.9,610.9,618.2,619.5
none,262144,52428800,4,309.17,8560938706,-37.983,-147.089,-92.536,False,308.3,309.6,308.7,309.1,309.7,307.8,309.8,309.3,310.0,309.3
lz4,131072,52428800,4,591.21,3415345702,18.594,1.425,10.009,False,591.7,593.4,592.8,592.4,589.4,591.8,593.3,580.0,595.9,591.4
lz4,524288,52428800,4,641.02,3367220234,28.585,2.814,15.699,True,646.7,633.2,641.9,638.9,643.5,640.2,646.4,641.0,633.1,645.3
none,524288,52428800,4,314.53,8560627072,-36.908,-147.08,-91.994,False,314.1,315.9,313.7,314.4,313.8,314.8,314.8,314.6,314.5,314.6
lz4,524288,52428800,3,619.88,3367220234,24.344,2.814,13.579,False,623.8,621.9,618.8,617.5,627.2,616.4,617.0,618.2,616.6,621.4
lz4,524288,52428800,5,634.18,3367220234,27.211,2.814,15.013,True,639.4,629.4,634.3,638.5,635.8,627.8,644.0,628.0,633.1,631.4
lz4,262144,52428800,5,645.88,3385377777,29.56,2.29,15.925,True,640.5,645.9,643.8,647.8,646.2,647.9,647.8,643.9,644.5,650.5
lz4,262144,104857600,5,854.91,3371871562,71.488,2.68,37.084,True,866.5,864.6,861.9,851.6,849.1,846.2,847.8,860.2,848.4,852.8
lz4,131072,104857600,5,788.6,3405952623,58.187,1.696,29.942,False,791.8,788.6,792.1,772.1,791.6,786.2,790.3,792.4,789.0,791.9
zstd,262144,104857600,5,752.84,2605084188,51.014,24.811,37.912,True,761.2,752.9,753.5,761.2,757.7,759.8,759.9,762.8,700.6,758.7
zstd,131072,104857600,5,587.17,2672594714,17.783,22.863,20.323,False,588.9,586.2,587.0,586.1,589.6,588.9,587.1,588.1,583.2,586.6
zstd,262144,52428800,5,619.74,2618117012,24.315,24.435,24.375,False,617.7,620.1,614.3,620.4,618.3,625.1,622.8,619.5,617.7,621.4
zstd,262144,209715200,5,753.83,2601703875,51.212,24.909,38.061,True,748.7,749.1,755.7,756.5,761.4,752.6,754.5,751.4,753.3,755.2
zstd,262144,314572800,5,786.43,2600410870,57.752,24.946,41.349,True,788.6,779.7,786.1,793.8,783.4,782.3,782.4,790.9,786.3,790.8
zstd,262144,314572800,4,745.1,2600410870,49.461,24.946,37.204,False,777.9,790.8,690.0,784.1,693.7,782.4,697.0,783.7,669.5,781.7
zstd,262144,314572800,4,777.27,2600410870,55.915,24.946,40.431,False,800.4,717.4,725.2,718.9,797.4,802.7,800.7,799.8,805.7,804.5
none,262144,314572800,5,779.48,8546002359,56.358,-146.658,-45.15,False,780.4,784.6,776.9,776.2,777.1,784.1,783.4,784.3,764.4,783.3
zstd,262144,419430400,5,733.52,2600253049,47.139,24.951,36.045,False,705.8,662.3,815.0,810.2,811.5,808.4,664.0,684.0,663.8,710.3
zstd,262144,314572800,4,773.44,2600410870,55.147,24.946,40.047,False,770.9,790.4,697.9,785.0,785.8,776.0,785.0,778.9,783.8,780.7
zstd,262144,314572800,4,763.16,2600410870,53.085,24.946,39.015,False,778.8,783.9,780.3,777.8,690.2,779.5,782.4,780.5,695.1,783.0
zstd,262144,419430400,5,775.16,2600253049,55.493,24.951,40.222,False,816.5,810.0,808.9,807.4,708.6,814.1,664.2,808.4,806.0,707.5
zstd,262144,419430400,5,747.55,2600253049,49.953,24.951,37.452,False,657.4,710.2,815.9,812.8,812.0,815.9,667.1,705.3,673.2,805.9
zstd,524288,314572800,5,926.38,2543267376,85.826,26.595,56.211,True,997.9,816.0,996.4,989.3,872.7,992.4,875.3,991.0,872.5,860.3
zstd,524288,314572800,4,969.37,2543267376,94.449,26.595,60.522,True,974.3,987.3,975.3,970.5,985.8,976.4,964.7,982.2,982.8,894.4
lzma,524288,314572800,4,99.45,2359970526,-80.05,31.886,-24.082,False,100.3,98.1,99.9,98.0,100.6,100.1,99.9,98.3,100.8,98.5
zstd,262144,314572800,4,776.59,2600410870,55.779,24.946,40.363,False,799.5,789.3,801.2,699.1,791.8,798.9,707.6,792.9,788.5,797.1
zstd,524288,314572800,5,959.07,2543267376,92.382,26.595,59.489,False,956.6,965.9,976.9,968.6,978.0,952.6,974.1,976.8,978.5,862.8
zstd,524288,314572800,5,948.24,2543267376,90.21,26.595,58.403,False,985.2,981.1,856.8,979.0,982.0,981.1,980.9,971.5,790.4,974.4
zstd,1048576,314572800,4,961.05,2541126776,92.781,26.657,59.719,False,967.3,971.3,975.5,855.8,977.5,965.6,976.0,974.4,966.4,980.6
zstd,262144,314572800,4,782.57,2600410870,56.979,24.946,40.962,False,799.7,802.2,669.6,791.5,796.9,787.3,799.1,796.4,792.3,790.7
zstd,262144,314572800,4,765.21,2600410870,53.496,24.946,39.221,False,699.3,692.1,783.8,782.0,788.1,778.7,781.3,779.7,781.9,785.2
zstd,524288,314572800,5,955.33,2543267376,91.633,26.595,59.114,False,972.3,987.2,964.6,790.4,975.3,969.9,972.0,972.1,973.6,975.8
zstd,524288,314572800,3,956.02,2543267376,91.771,26.595,59.183,False,963.9,976.2,982.1,975.3,862.8,980.7,982.4,983.2,867.2,986.6
zstd,1048576,314572800,4,982.96,2541126776,97.174,26.657,61.916,True,980.7,986.7,979.9,971.9,983.2,990.6,988.5,979.4,982.3,986.3
