compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
lz4,65536,52428800,1,534.6,2306293718,0.0,-0.0,0.0,True,517.4,536.8,540.5,531.7,535.5,535.6,537.7,538.5,533.3,539.1
lz4,65536,52428800,2,510.97,2306293718,-4.421,-0.0,-2.21,False,517.0,512.8,513.5,500.8,516.5,500.9,515.3,512.0,515.2,505.5
lz4,65536,52428800,2,540.1,2306293718,1.029,-0.0,0.514,True,525.1,549.1,548.8,522.9,547.2,542.4,545.0,539.8,541.1,539.6
lz4,65536,52428800,3,513.78,2306293718,-3.896,-0.0,-1.948,True,515.1,516.1,515.5,494.9,515.4,513.6,519.1,517.7,516.5,513.8
none,65536,52428800,3,576.97,4671442977,7.925,-102.552,-47.313,False,574.4,574.1,576.8,575.8,577.8,576.8,578.1,583.3,575.1,577.6
lz4,131072,52428800,3,651.66,2286739549,21.896,0.848,11.372,True,651.3,656.2,653.6,650.5,650.2,654.6,650.9,649.8,650.3,649.3
zlib,131072,52428800,3,292.95,2097381051,-45.203,9.058,-18.072,False,295.2,293.2,293.0,290.9,292.8,292.8,292.4,293.1,291.7,294.3
lz4,131072,41943040,3,645.72,2288603458,20.784,0.767,10.775,True,649.2,644.4,649.6,647.9,645.5,644.8,646.3,633.8,647.7,648.0
lzma,131072,41943040,3,43.05,1830899404,-91.946,20.613,-35.667,False,43.4,42.9,42.9,43.3,43.0,43.0,42.9,43.2,42.8,43.1
lz4,262144,41943040,3,717.57,2273221368,34.224,1.434,17.829,True,723.0,719.8,715.7,708.9,721.8,720.9,723.1,724.7,698.0,719.6
none,262144,41943040,3,727.32,4668735055,36.049,-102.435,-33.193,False,727.2,727.1,727.7,724.1,720.9,727.4,724.9,736.8,728.7,728.4
lz4,262144,41943040,2,747.44,2273221368,39.812,1.434,20.623,True,754.0,705.5,757.6,720.1,758.0,749.1,762.6,758.8,752.7,756.0
lz4,524288,41943040,2,742.6,2267790254,38.906,1.669,20.288,True,735.7,742.6,745.2,743.0,749.3,737.1,741.8,742.3,744.9,744.1
zlib,524288,41943040,2,314.58,2083486361,-41.156,9.661,-15.748,False,314.4,310.6,313.7,317.1,314.0,313.1,316.9,313.9,317.8,314.2
none,524288,41943040,2,711.68,4668451087,33.123,-102.422,-34.65,False,708.6,710.5,710.8,707.9,710.9,716.0,706.6,717.9,715.1,712.6
lzma,524288,41943040,2,40.93,1809577423,-92.343,21.537,-35.403,False,34.1,41.0,41.1,41.3,41.9,42.4,41.9,42.1,41.7,41.9
lz4,524288,52428800,2,708.43,2267408450,32.516,1.686,17.101,False,716.6,713.0,710.7,702.9,713.1,706.6,702.4,714.6,708.3,696.2
lz4,524288,41943040,3,730.87,2267790254,36.712,1.669,19.191,False,733.1,723.7,751.4,748.1,716.4,722.8,755.8,731.7,695.7,730.0
lz4,524288,41943040,3,756.54,2267790254,41.514,1.669,21.592,True,745.4,761.3,761.9,763.4,744.0,758.2,763.5,759.7,758.1,749.9
lz4,524288,41943040,4,736.65,2267790254,37.794,1.669,19.732,False,734.6,741.1,737.7,747.9,724.5,742.0,740.9,732.6,718.6,746.6
lz4,524288,41943040,4,747.63,2267790254,39.848,1.669,20.759,False,755.4,748.4,750.9,716.2,749.3,748.9,749.2,751.6,749.1,757.3
lz4,262144,41943040,3,716.43,2273221368,34.011,1.434,17.723,False,713.3,721.9,725.2,723.9,721.5,725.0,714.7,717.2,681.8,720.0
zstd,524288,41943040,3,613.7,1962534687,14.796,14.905,14.85,False,609.8,614.3,610.3,613.1,604.9,625.5,626.2,622.5,610.0,600.5
lz4,524288,52428800,3,711.39,2267408450,33.07,1.686,17.378,False,699.3,722.4,711.4,712.8,687.9,716.0,718.5,727.7,705.0,712.9
lz4,1048576,41943040,3,769.57,2266070429,43.952,1.744,22.848,True,769.7,799.8,755.3,769.5,725.7,747.2,790.2,797.1,782.8,758.6
none,1048576,41943040,3,720.6,4668360669,34.791,-102.418,-33.813,False,718.6,722.1,725.8,716.9,720.9,714.8,721.0,722.3,720.9,722.7
lz4,1048576,41943040,2,777.54,2266070429,45.442,1.744,23.593,True,771.7,790.7,769.6,783.6,784.1,759.2,789.0,791.7,781.0,754.8
lz4,2097152,41943040,2,775.95,2265983689,45.144,1.748,23.446,True,775.4,778.5,779.1,774.8,779.1,764.7,789.5,774.6,762.0,781.9
lz4,2097152,52428800,2,798.35,2263906203,49.336,1.838,25.587,True,801.1,799.2,810.3,802.1,806.3,802.7,782.3,772.8,805.9,800.8
lz4,1048576,52428800,2,769.92,2264572645,44.017,1.809,22.913,False,770.2,774.3,768.0,764.8,771.3,774.1,758.8,771.4,777.5,768.7
lz4,4194304,52428800,2,770.95,2263864708,44.21,1.84,23.025,False,748.5,760.9,786.9,772.4,777.3,784.4,781.6,782.4,769.2,745.9
lz4,4194304,52428800,2,759.65,2263864708,42.096,1.84,21.968,False,721.6,742.3,767.4,775.1,775.1,771.0,769.4,775.4,724.7,774.5
lz4,2097152,104857600,2,811.16,2260127459,51.731,2.002,26.867,True,803.2,788.6,804.8,832.9,829.9,830.9,823.4,819.3,825.2,753.3
