compression,Page Size,Cluster Size,Cluster Bunch,throughput,relative_throughput,size,relative_size,performance,success,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
lz4,65536,52428800,1,1154.44,1.00,1103484973,1.00,0.0,True,1118.5,1130.7,1150.7,1166.1,1159.3,1167.5,1167.2,1150.2,1167.4,1166.8
lzma,65536,52428800,1,1456.29,1.26,1001240397,0.91,0.17706121701235727,True,1465.1,1452.7,1443.6,1455.3,1438.7,1457.5,1455.1,1462.3,1465.2,1467.5
lzma,65536,104857600,1,1477.38,1.28,1001243645,0.91,0.1861974208507695,True,1472.6,1477.4,1477.7,1470.6,1470.9,1481.0,1478.2,1485.6,1485.6,1474.1
lzma,65536,104857600,2,1536.47,1.33,1001243645,0.91,0.21178770725878004,True,1519.7,1544.6,1549.9,1516.2,1546.8,1538.0,1541.1,1535.7,1541.6,1531.2
lz4,65536,104857600,2,1539.62,1.33,1103445496,1.00,0.166843089913074,True,1549.5,1428.7,1570.4,1484.5,1536.2,1495.4,1594.4,1594.1,1601.7,1541.2
lz4,65536,52428800,2,1162.79,1.01,1103484973,1.00,0.003617052604089288,False,1171.4,1152.6,1170.5,1152.3,1171.5,1136.8,1172.6,1156.0,1171.3,1172.8
lz4,65536,52428800,2,1165.37,1.01,1103484973,1.00,0.0047322129776775634,False,1169.0,1172.0,1172.6,1170.8,1137.8,1176.0,1152.9,1176.3,1169.0,1157.3
lz4,65536,104857600,1,1568.13,1.36,1103445496,1.00,0.17919321662739346,True,1588.9,1533.5,1591.9,1588.2,1597.2,1593.9,1565.2,1490.3,1536.1,1596.2
lz4,131072,104857600,1,1622.00,1.41,1100867673,1.00,0.2036912341211189,True,1569.1,1648.9,1632.7,1635.0,1644.5,1620.5,1609.8,1613.1,1635.3,1611.2
none,131072,104857600,1,1223.05,1.06,1575036905,1.43,-0.18395013667057858,False,1224.9,1231.8,1229.1,1247.1,1215.7,1211.8,1218.5,1214.4,1206.8,1230.4
lz4,131072,104857600,2,1637.30,1.42,1100867673,1.00,0.21031682599257273,True,1710.2,1593.8,1670.8,1667.0,1644.7,1644.2,1589.7,1634.4,1627.2,1590.9
lz4,65536,104857600,2,1363.90,1.18,1103445496,1.00,0.09073569072445703,True,1351.1,1382.5,1361.2,1399.6,1377.1,1369.4,1347.8,1314.5,1356.9,1378.9
lz4,65536,209715200,2,1586.72,1.37,1103463116,1.00,0.1872331140246421,True,1559.5,1561.3,1576.2,1534.6,1490.2,1590.8,1662.1,1674.3,1655.0,1563.2
lz4,65536,209715200,1,1559.99,1.35,1103463116,1.00,0.1756563671195493,True,1549.1,1525.2,1587.0,1586.2,1548.2,1532.9,1552.8,1582.8,1552.4,1583.2
lz4,65536,104857600,1,1165.88,1.01,1103445496,1.00,0.004973477766189671,False,1195.8,1178.9,1178.9,1142.3,1159.1,1160.2,1177.0,1178.2,1109.0,1179.5
zlib,65536,209715200,1,1420.20,1.23,1056901175,0.96,0.1362127178141575,True,1421.9,1447.9,1390.3,1419.8,1405.6,1414.0,1415.2,1415.1,1417.8,1454.6
zlib,32768,209715200,1,1325.56,1.15,1076997641,0.98,0.08611699818928426,True,1312.3,1335.5,1335.9,1335.5,1334.5,1333.2,1326.2,1303.2,1315.5,1323.8
zlib,32768,209715200,2,1389.98,1.20,1076997641,0.98,0.11401584983874907,True,1405.5,1380.0,1368.6,1397.3,1398.1,1365.5,1405.5,1396.6,1394.8,1388.0
zlib,32768,314572800,2,1470.32,1.27,1076999466,0.98,0.14881062057205147,True,1475.5,1465.8,1473.4,1477.0,1476.8,1475.6,1477.9,1478.9,1480.6,1421.5
zlib,32768,209715200,2,1063.32,0.92,1076997641,0.98,-0.027464568545575885,False,1063.6,1065.7,1063.8,1080.8,1061.4,1064.0,1067.1,1047.6,1065.0,1054.0
zlib,32768,419430400,2,1444.20,1.25,1076984859,0.98,0.13750355197883207,False,1467.7,1442.3,1442.1,1360.1,1470.8,1431.0,1468.4,1475.4,1410.7,1473.3
zlib,32768,209715200,2,1014.83,0.88,1076997641,0.98,-0.04846658219290023,False,1015.4,1021.1,1002.0,1018.0,1016.8,1016.9,1018.3,1017.3,1003.3,1019.3
lz4,32768,314572800,2,1336.14,1.16,1107299635,1.00,0.07696792914628792,False,1353.2,1366.9,1370.5,1279.2,1275.0,1371.7,1369.4,1365.9,1375.3,1234.3
zlib,16384,314572800,2,878.70,0.76,1088231702,0.99,-0.11251373655758456,False,881.5,881.7,878.7,884.2,876.0,875.7,878.6,870.6,879.1,880.9
zlib,32768,314572800,1,1003.03,0.87,1076999466,0.98,-0.05357797377833945,False,1005.3,979.6,1001.1,1004.5,1006.5,1025.8,988.0,1003.3,1012.2,1003.9
zlib,32768,314572800,3,1030.38,0.89,1076999466,0.98,-0.04173144019514946,False,1014.4,1060.5,998.5,1052.4,962.1,1058.0,1048.2,1020.8,1046.5,1042.4
zlib,32768,314572800,1,987.54,0.86,1076999466,0.98,-0.060284329158287575,False,967.8,1004.8,992.6,988.9,1002.2,988.1,960.1,985.4,981.6,1003.9
zstd,32768,314572800,2,1392.25,1.21,1054244277,0.96,0.12531133290874136,True,1365.6,1399.6,1393.7,1396.3,1372.7,1397.7,1399.9,1405.1,1399.4,1392.6
zstd,32768,419430400,2,1445.13,1.25,1054239244,0.96,0.14821551274502326,True,1463.8,1477.1,1437.4,1418.5,1455.8,1450.7,1449.5,1363.0,1455.1,1480.4
