compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
lz4,65536,52428800,1,823.93,1103484973,0.0,-0.0,0.0,True,819.1,828.9,829.5,821.0,823.4,832.1,817.5,828.5,819.3,820.1
lz4,65536,104857600,1,810.64,1103445496,-1.612,0.004,-0.804,True,817.7,808.2,814.5,809.2,806.3,812.0,806.5,816.6,814.2,801.2
lz4,65536,104857600,2,812.05,1103445496,-1.442,0.004,-0.719,True,794.4,816.3,806.7,811.6,807.5,823.4,817.0,813.7,813.6,816.3
lz4,65536,52428800,2,804.48,1103484973,-2.361,-0.0,-1.18,True,805.3,804.6,795.8,803.9,811.5,808.3,806.1,802.7,803.8,802.8
lz4,65536,41943040,2,798.56,1103488060,-3.079,-0.0,-1.54,True,797.3,800.0,799.7,788.5,802.1,800.7,794.5,795.1,808.2,799.6
lz4,65536,41943040,1,820.33,1103488060,-0.437,-0.0,-0.219,True,817.2,823.8,816.3,825.9,821.5,817.6,816.8,826.3,821.0,816.9
none,65536,41943040,1,844.25,1575751565,2.467,-42.798,-20.165,False,842.3,854.5,842.9,840.8,846.6,843.6,833.3,855.0,841.8,841.7
zstd,65536,41943040,1,721.46,1050042637,-12.437,4.843,-3.797,False,718.5,720.2,716.8,723.2,727.0,716.7,719.4,725.1,727.2,720.3
lz4,65536,41943040,2,874.69,1103488060,6.161,-0.0,3.08,True,887.1,866.2,878.6,889.5,881.5,882.5,884.3,874.1,880.9,822.2
lz4,65536,52428800,2,829.41,1103484973,0.666,-0.0,0.333,False,819.4,835.1,823.6,820.1,820.3,840.3,826.8,843.3,831.7,833.5
lz4,65536,41943040,1,817.84,1103488060,-0.739,-0.0,-0.37,False,823.1,817.6,815.5,820.6,807.2,810.8,823.2,823.5,815.0,821.8
lz4,131072,41943040,2,847.9,1100869830,2.91,0.237,1.573,False,848.2,846.5,844.6,854.4,852.4,836.5,853.5,844.7,848.9,849.3
lz4,65536,41943040,1,809.59,1103488060,-1.74,-0.0,-0.87,False,807.8,812.1,817.0,807.1,812.8,808.8,803.9,812.0,809.6,804.7
