compression,Page Size,Cluster Size,Cluster Bunch,throughput_atlas(MB/s),throughput_cms(MB/s),throughput_h1(MB/s),throughput_lhcb(MB/s),size_atlas(MB),size_cms(MB),size_h1(MB),size_lhcb(MB),writing_time_atlas(s),writing_time_cms(s),writing_time_h1(s),writing_time_lhcb(s),processing_time_atlas(s),processing_time_cms(s),processing_time_h1(s),processing_time_lhcb(s),throughput_increase_atlas(%),throughput_increase_cms(%),throughput_increase_h1(%),throughput_increase_lhcb(%),size_decrease_atlas(%),size_decrease_cms(%),size_decrease_h1(%),size_decrease_lhcb(%),performance_atlas(%),performance_cms(%),performance_h1(%),performance_lhcb(%),performance(%),accepted,res_atlas_0,res_atlas_1,res_atlas_2,res_atlas_3,res_atlas_4,res_atlas_5,res_atlas_6,res_atlas_7,res_atlas_8,res_atlas_9,res_atlas_10,res_atlas_11,res_atlas_12,res_atlas_13,res_atlas_14,res_atlas_15,res_atlas_16,res_atlas_17,res_atlas_18,res_atlas_19,res_cms_0,res_cms_1,res_cms_2,res_cms_3,res_cms_4,res_cms_5,res_cms_6,res_cms_7,res_cms_8,res_cms_9,res_cms_10,res_cms_11,res_cms_12,res_cms_13,res_cms_14,res_cms_15,res_cms_16,res_cms_17,res_cms_18,res_cms_19,res_h1_0,res_h1_1,res_h1_2,res_h1_3,res_h1_4,res_h1_5,res_h1_6,res_h1_7,res_h1_8,res_h1_9,res_h1_10,res_h1_11,res_h1_12,res_h1_13,res_h1_14,res_h1_15,res_h1_16,res_h1_17,res_h1_18,res_h1_19,res_lhcb_0,res_lhcb_1,res_lhcb_2,res_lhcb_3,res_lhcb_4,res_lhcb_5,res_lhcb_6,res_lhcb_7,res_lhcb_8,res_lhcb_9,res_lhcb_10,res_lhcb_11,res_lhcb_12,res_lhcb_13,res_lhcb_14,res_lhcb_15,res_lhcb_16,res_lhcb_17,res_lhcb_18,res_lhcb_19
lz4,65536,52428800,1,758.175,483.082,481.305,765.778,1091048421,3464719652,2306293718,1103484973,0.000,0.000,0.000,0.000,50.176,19.018,27.268,38.808,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,True,753.10,754.02,760.29,761.70,755.78,743.80,758.38,749.29,749.53,797.59,739.63,789.92,759.37,745.36,753.82,741.64,791.09,751.55,756.68,750.95,468.63,486.16,476.31,478.60,481.32,479.33,485.25,489.69,480.98,487.47,480.06,488.04,481.67,488.01,477.53,480.54,491.31,480.41,481.49,498.86,483.33,475.48,475.43,530.02,473.16,489.05,480.07,478.94,474.51,473.87,506.02,473.26,475.11,480.31,471.70,476.46,474.83,476.62,484.07,473.86,755.69,821.92,756.07,805.47,763.73,763.06,751.20,757.29,753.57,761.09,762.90,756.76,770.45,765.05,758.47,753.96,756.24,779.36,754.87,768.43
lz4,65536,52428800,2,982.047,524.650,553.398,1016.021,1091048417,3464719649,2306293715,1103484969,65.285,290.230,97.841,29.254,51.037,19.186,25.881,34.473,29.528,8.605,14.979,32.678,0.000,0.000,0.000,0.000,14.764,4.302,7.489,16.339,10.724,True,973.29,979.88,982.84,976.14,979.33,974.07,984.47,979.73,991.63,985.39,991.30,981.03,977.32,985.21,986.10,993.01,982.56,981.40,975.68,980.54,522.56,539.45,541.89,526.09,521.96,514.12,538.55,516.96,521.75,518.77,522.25,521.99,522.01,521.29,522.70,526.84,525.11,522.38,523.89,522.44,556.83,543.21,608.37,539.37,553.63,553.88,551.54,545.10,541.41,543.43,553.72,583.35,551.97,569.06,553.14,540.27,552.87,545.26,538.72,542.86,1000.03,1011.39,1041.27,1000.51,1006.87,1026.80,997.40,1008.82,1012.84,1038.82,1018.37,1020.92,1004.43,1018.93,1032.22,1023.91,1029.84,1001.95,1007.68,1017.43
lz4,65536,52428800,1,968.747,526.812,553.238,1002.522,1091048417,3464719649,2306293715,1103484969,64.482,291.410,99.019,29.906,52.028,19.223,25.660,33.994,27.774,9.052,14.945,30.915,0.000,0.000,0.000,0.000,13.887,4.526,7.473,15.458,10.336,True,969.68,952.45,955.49,969.83,968.65,969.73,983.15,962.60,966.41,989.43,982.80,970.24,964.65,959.79,963.95,979.31,990.29,950.82,966.27,959.39,519.16,532.93,523.99,522.16,528.79,520.26,526.66,518.22,520.65,541.34,521.04,526.62,524.03,530.49,530.46,525.47,531.89,529.08,534.28,528.73,547.60,540.44,545.58,552.48,544.38,569.89,572.46,550.72,552.14,548.85,551.23,559.02,560.02,558.48,564.32,551.53,549.52,548.03,547.12,550.94,989.35,987.57,994.59,1005.69,1014.89,999.63,984.54,1022.18,1002.74,1003.94,994.91,998.51,1029.18,1002.92,980.89,997.17,1000.70,1003.57,1004.63,1032.83
zlib,65536,52428800,1,426.729,259.248,274.308,285.875,770297511,2954985392,2115611277,1057002946,70.293,290.514,98.572,35.514,75.791,20.339,33.584,79.213,-43.716,-46.335,-43.007,-62.669,29.398,14.712,8.268,4.212,-7.159,-15.811,-17.370,-29.228,-17.392,False,425.63,426.99,424.01,427.25,424.41,427.06,428.13,427.97,425.30,428.71,429.59,425.45,426.31,426.28,428.31,421.60,428.83,430.30,428.56,423.91,259.81,259.97,259.74,258.18,260.17,258.06,258.85,258.86,259.27,259.30,260.95,257.67,258.06,260.72,257.58,259.93,260.02,260.02,259.28,258.51,270.39,272.94,274.87,276.67,275.08,273.27,275.95,272.86,273.25,272.25,276.95,274.27,276.26,274.62,273.41,276.11,274.44,272.90,276.42,273.27,288.94,288.00,288.15,278.76,293.33,280.37,294.27,270.06,285.19,286.52,277.06,276.07,282.86,291.17,275.57,264.23,271.91,308.76,305.36,310.92
lz4,65536,41943040,1,1029.428,498.447,563.157,957.737,1091066888,3465749510,2305176703,1103488056,64.699,293.068,98.095,29.651,49.699,19.741,25.404,34.758,35.777,3.181,17.006,25.067,-0.002,-0.030,0.048,-0.000,17.888,1.575,8.527,12.533,10.131,True,1008.16,1053.77,1061.50,1058.63,1066.31,1064.88,1002.65,1005.80,1078.10,1002.88,1009.86,1006.31,1010.04,1059.36,1062.42,1004.22,1010.13,1017.48,1003.60,1002.47,496.37,501.26,500.68,495.85,489.71,490.57,505.81,501.17,498.01,496.76,500.08,495.01,501.31,499.39,499.35,498.24,496.51,506.57,500.13,496.18,560.90,569.20,560.50,557.88,564.13,571.72,553.81,559.90,570.37,552.41,559.05,558.74,555.28,603.51,569.08,552.65,563.57,566.42,558.25,555.75,960.72,1026.39,950.51,956.82,938.93,959.95,939.30,950.85,960.61,950.87,945.11,945.91,959.44,956.82,957.23,948.69,958.37,967.25,960.99,959.96
lz4,65536,52428800,1,941.656,530.993,553.255,1008.762,1091048417,3464719649,2306293715,1103484969,64.363,290.267,98.232,29.402,50.187,18.536,25.963,33.601,24.200,9.918,14.949,31.730,0.000,0.000,0.000,0.000,12.100,4.959,7.475,15.865,10.100,True,941.75,943.52,940.58,948.05,938.37,936.26,940.07,945.28,941.90,940.62,946.07,939.92,941.57,940.87,936.35,937.59,939.12,942.98,946.80,945.44,527.06,539.58,530.14,529.15,544.91,524.88,526.87,531.63,525.93,529.22,545.70,528.48,528.47,529.97,530.18,525.69,523.41,526.88,530.91,540.79,547.99,565.35,557.64,543.27,540.81,542.16,538.93,542.71,602.75,554.50,542.32,541.32,554.34,543.67,552.64,544.95,546.38,553.73,542.55,607.10,1001.68,1006.01,1016.19,1000.73,1004.51,997.86,1015.78,1028.26,1011.32,1000.65,1015.50,1017.01,1005.73,1004.77,984.42,1007.42,1019.49,1007.42,1020.30,1010.19
lz4,131072,52428800,1,1033.037,599.722,729.560,1049.921,1085246802,3415345702,2286739546,1100865369,68.430,297.162,103.554,32.689,49.790,18.933,23.120,32.966,36.253,24.145,51.580,37.105,0.532,1.425,0.848,0.237,18.392,12.785,26.214,18.671,19.016,True,1040.92,1031.56,1029.88,1021.31,1026.54,1034.71,1045.59,1031.94,1032.04,1024.59,1038.65,1022.42,1028.92,1039.49,1048.21,1031.43,1032.98,1031.09,1042.68,1025.79,600.96,599.45,600.13,604.14,604.14,602.21,601.82,601.05,601.46,600.93,597.56,607.13,603.48,602.08,597.64,580.07,607.16,603.04,597.86,582.13,732.80,721.24,725.28,732.42,735.33,734.68,733.12,732.82,733.08,751.01,722.46,737.41,730.65,724.06,727.80,716.84,726.83,724.61,722.32,726.41,1037.37,1061.30,1045.60,1047.77,1066.60,1032.30,1069.55,1033.26,1053.79,1043.02,1100.56,1025.64,1046.04,1049.94,1058.48,1044.89,1050.74,1036.39,1044.51,1050.67
lz4,262144,52428800,1,1153.554,611.275,798.318,1129.238,1081420255,3385377777,2272736473,1098976574,70.261,303.201,107.404,35.096,49.577,18.595,22.492,31.791,52.149,26.537,65.865,47.463,0.882,2.290,1.455,0.409,26.516,14.413,33.660,23.936,24.631,True,1124.74,1163.29,1131.97,1163.89,1131.40,1133.50,1133.21,1144.82,1218.55,1141.78,1213.36,1147.71,1136.21,1126.72,1123.75,1127.33,1137.13,1221.11,1236.74,1113.91,611.00,603.04,622.09,617.84,609.97,612.07,613.50,610.74,609.69,610.68,612.63,608.99,611.04,614.57,613.87,608.73,608.76,608.29,609.66,608.34,766.97,835.06,826.50,796.88,799.33,775.95,773.95,771.95,824.10,777.21,822.32,839.92,832.04,824.76,764.81,823.73,767.32,778.19,804.70,760.66,1137.16,1140.98,1112.46,1162.98,1129.97,1117.48,1162.78,1107.30,1119.92,1133.01,1138.76,1101.24,1127.78,1127.73,1120.92,1085.73,1133.02,1145.92,1130.51,1149.10
zlib,262144,52428800,1,418.516,329.071,336.989,328.863,765025030,2829768697,2085553083,1042997038,71.411,293.953,105.234,39.147,73.935,19.666,31.838,73.144,-44.800,-31.881,-29.984,-57.055,29.882,18.326,9.571,5.482,-7.459,-6.777,-10.207,-25.787,-12.557,False,364.07,360.24,379.42,350.16,370.73,359.16,372.47,374.86,379.92,375.96,398.38,445.55,484.62,481.54,483.24,473.29,473.81,480.66,486.59,475.66,331.26,330.21,328.89,326.66,325.45,330.31,329.91,329.67,326.87,329.52,328.65,328.84,330.87,330.95,326.82,330.55,330.06,329.56,329.52,326.86,333.50,338.73,336.34,332.50,335.98,337.16,336.69,336.68,338.61,338.93,336.38,337.31,336.04,337.79,334.70,338.37,338.61,335.58,338.38,341.50,328.28,329.07,327.11,328.66,335.86,327.73,333.59,326.28,328.92,327.29,329.37,327.65,336.10,325.69,320.80,331.81,326.83,325.90,328.38,331.93
lz4,524288,52428800,1,1315.169,614.587,794.490,1175.871,1079210822,3367220234,2267408447,1097689553,72.664,307.584,110.435,36.571,49.315,18.766,22.071,31.494,73.465,27.222,65.070,53.552,1.085,2.814,1.686,0.525,37.275,15.018,33.378,27.039,28.177,True,1304.98,1291.88,1303.19,1344.50,1293.70,1321.06,1321.04,1323.36,1295.93,1331.51,1282.78,1335.01,1326.63,1357.46,1299.22,1341.07,1293.65,1309.03,1327.46,1299.93,606.07,614.23,624.09,612.56,619.03,609.70,618.16,616.93,611.26,617.71,606.70,612.96,618.59,613.53,617.15,617.23,613.80,610.33,617.41,614.32,795.55,792.15,802.39,792.33,793.26,776.18,806.23,810.24,794.24,796.50,795.83,804.79,784.24,795.83,776.90,787.04,802.71,795.63,783.59,804.17,1194.18,1174.99,1148.42,1185.05,1160.66,1180.09,1142.53,1170.94,1168.59,1194.32,1148.07,1164.53,1171.75,1180.51,1161.94,1165.31,1312.68,1152.48,1176.18,1164.19
