time,number_of_changes,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-20_09:40:17,0,lz4,65536,52428800,1,778.30,1091048421,0.000,0.000,0.000,True,0.000,50.977,767.9,759.9,773.5,781.0,771.9,773.9,772.6,767.4,773.3,773.3,778.9,773.8,767.5,770.3,807.7,772.3,806.1,805.6,767.8,801.5
23-04-20_09:48:29,3,lzma,131072,52428800,2,75.59,627744038,-90.287,42.464,-23.912,False,225.304,267.330,74.4,76.3,75.3,75.7,75.7,76.2,75.4,76.2,75.7,74.8,75.7,75.7,75.5,75.9,74.9,75.6,75.8,76.0,75.6,75.6
23-04-20_09:59:00,3,lzma,65536,104857600,2,46.42,643602763,-94.035,41.011,-26.512,False,219.997,410.560,46.1,45.8,45.9,46.3,46.4,46.4,46.4,46.6,46.6,46.8,46.3,46.6,46.8,46.7,46.8,46.5,46.6,46.6,46.3,46.1
23-04-20_10:09:28,2,lzma,65536,41943040,1,46.45,643604694,-94.032,41.010,-26.511,False,218.256,409.223,46.4,46.2,46.5,46.5,46.8,46.6,46.3,46.6,46.9,46.3,46.3,46.0,46.7,46.2,46.6,46.3,46.6,46.5,46.0,46.6
23-04-20_10:17:41,3,lzma,131072,52428800,2,75.33,627744038,-90.321,42.464,-23.928,False,225.369,268.214,75.8,75.5,75.9,75.6,75.0,74.7,75.7,74.8,74.8,75.9,75.8,75.4,75.6,75.6,75.5,74.8,74.6,75.0,75.7,75.0
23-04-20_10:19:37,1,lz4,65536,52428800,2,995.12,1091048417,27.858,0.000,13.929,True,65.191,50.177,994.3,999.3,992.1,994.2,996.9,989.7,992.0,997.3,989.8,999.1,1000.0,1003.6,991.5,999.1,992.4,987.6,988.1,1006.3,997.5,991.6
23-04-20_10:21:38,4,zstd,131072,104857600,1,998.68,875531619,28.315,19.753,24.034,True,67.423,54.133,977.5,1019.6,987.9,966.4,974.0,1019.0,980.4,1014.2,1021.8,969.4,971.3,973.6,974.3,1020.9,1026.6,1023.7,1025.3,976.8,1022.8,1028.0
23-04-20_10:23:36,1,lz4,131072,104857600,1,1073.77,1085251080,37.963,0.531,19.247,False,68.371,48.926,1072.3,1073.5,1069.0,1072.0,1071.7,1078.5,1074.9,1068.8,1076.8,1074.3,1074.1,1080.5,1075.0,1067.0,1070.3,1066.8,1072.9,1082.4,1085.2,1069.6
23-04-20_10:25:37,2,zstd,65536,104857600,2,823.57,874242246,5.816,19.871,12.843,False,66.415,54.943,600.5,841.4,835.1,836.3,829.9,834.0,833.0,834.2,840.8,834.6,833.0,834.8,839.0,836.4,834.4,835.8,834.1,834.4,834.8,834.8
23-04-20_10:33:17,4,lzma,262144,209715200,2,93.53,619685432,-87.982,43.203,-22.390,False,235.654,224.427,94.0,94.1,94.2,93.3,94.0,93.2,94.1,94.0,93.3,93.2,93.4,91.8,93.6,92.5,93.2,93.6,93.7,93.8,93.9,93.6
