time,number_of_changes,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-18_17:46:42,0,lz4,65536,52428800,1,483.51,3464719652,0.000,0.000,0.000,True,0.000,24.870,414.4,474.7,494.5,475.1,490.3,503.7,479.5,503.3,491.8,501.9,491.4,489.6,497.3,487.9,492.0,474.0,471.4,483.0,459.6,494.7
23-04-18_17:51:41,3,lz4,32768,41943040,2,316.64,3529390508,-34.513,-1.867,-18.190,False,278.252,20.594,316.4,316.6,319.3,318.2,315.2,317.6,315.3,313.0,317.1,316.9,318.3,319.3,315.6,318.5,316.1,317.4,317.4,311.6,318.0,314.9
23-04-18_17:56:44,1,lz4,65536,52428800,2,544.59,3464719649,12.632,0.000,6.316,True,284.349,18.716,544.9,542.0,562.5,547.6,540.1,554.6,538.2,538.8,554.0,539.3,543.1,555.2,543.1,553.9,540.1,541.3,538.0,540.5,537.8,536.7
23-04-18_18:01:48,2,lz4,65536,41943040,3,513.90,3465749510,6.286,-0.030,3.128,True,284.350,19.036,512.5,515.4,512.9,512.9,513.8,509.4,515.3,522.8,515.0,516.1,514.8,519.9,519.5,526.3,512.2,506.5,510.0,510.2,506.3,506.3
23-04-18_18:06:53,1,lz4,65536,41943040,2,526.72,3465749510,8.937,-0.030,4.454,True,286.048,19.013,520.0,532.8,522.1,535.1,519.3,522.7,535.7,533.9,522.2,518.9,520.6,535.2,522.4,535.8,521.3,518.6,534.7,535.2,527.3,520.6
23-04-18_18:10:35,3,none,65536,31457280,3,213.37,8577226024,-55.870,-147.559,-101.714,False,196.393,25.996,213.5,213.6,213.7,213.2,213.2,213.8,213.3,213.2,213.2,213.5,213.5,213.7,212.8,213.6,213.3,213.5,212.4,213.4,213.8,213.2
23-04-18_18:14:18,1,none,65536,41943040,2,259.37,8569635198,-46.357,-147.340,-96.848,False,200.147,23.090,258.8,259.5,259.4,259.8,259.3,259.9,259.2,259.2,259.6,259.8,260.1,259.4,258.8,259.4,259.6,259.3,258.4,259.4,259.3,259.1
23-04-18_18:19:34,2,lz4,32768,52428800,2,295.79,3527677525,-38.825,-1.817,-20.321,False,295.096,20.508,295.4,296.7,296.1,296.9,295.9,295.4,296.4,296.1,296.0,296.7,294.0,295.2,295.8,296.9,296.1,295.7,294.4,295.8,296.4,293.7
23-04-18_18:24:34,2,zlib,65536,41943040,3,290.10,2954027797,-40.001,14.740,-12.630,False,279.536,19.892,289.0,289.3,290.8,290.3,291.2,288.7,290.9,288.0,290.7,290.3,289.8,291.5,291.6,289.9,289.4,290.4,289.4,291.0,290.2,289.9
23-04-18_18:31:28,2,zstd,65536,52428800,2,443.93,2698706664,-8.186,22.109,6.961,True,395.750,18.467,442.6,443.9,447.3,445.7,445.0,445.1,446.9,443.1,444.6,444.7,444.6,444.4,445.7,447.2,444.6,446.1,445.1,446.9,444.8,420.4
23-04-18_18:38:22,2,zstd,65536,41943040,3,508.31,2700552623,5.128,22.056,13.592,True,395.938,18.524,510.5,510.6,507.3,506.8,509.2,509.5,506.5,506.5,507.2,511.6,510.0,508.8,508.4,506.3,507.5,506.9,506.1,508.2,510.8,507.5
23-04-18_18:43:22,2,zlib,32768,41943040,3,191.62,3033388535,-60.369,12.449,-23.960,False,279.296,20.839,190.5,191.3,191.9,191.4,190.7,191.8,192.0,191.5,191.8,192.3,190.9,190.9,192.7,191.4,191.5,192.0,191.6,192.2,191.7,192.4
23-04-18_18:47:00,4,none,131072,52428800,2,316.53,8562484522,-34.536,-147.134,-90.835,False,195.199,22.040,324.3,314.8,316.5,315.9,316.5,316.4,316.2,316.1,316.5,316.5,316.0,316.3,316.8,315.7,315.3,316.3,316.2,316.5,316.1,315.6
23-04-18_18:54:15,1,zstd,131072,41943040,3,538.03,2678097607,11.277,22.704,16.990,True,417.355,18.455,536.0,541.9,538.7,538.4,538.8,537.1,536.3,540.1,537.6,538.1,534.2,536.1,537.8,537.4,539.3,537.6,540.5,538.3,538.3,538.3
23-04-18_19:19:58,1,lzma,131072,41943040,3,78.76,2448743232,-83.711,29.323,-27.194,False,1513.881,28.879,77.9,78.7,78.8,78.9,78.6,79.3,78.4,79.2,78.9,78.3,79.1,78.9,78.2,78.5,78.3,79.6,79.2,78.5,79.0,78.8
23-04-18_19:27:18,2,zstd,262144,41943040,4,575.28,2625614552,18.981,24.219,21.600,True,421.446,18.237,572.6,577.2,575.2,579.3,573.1,578.9,571.5,576.0,576.9,574.5,575.5,576.2,571.1,574.0,578.9,572.4,576.3,573.3,576.8,576.0
23-04-18_19:32:20,1,zlib,262144,41943040,4,313.80,2836678734,-35.099,18.127,-8.486,False,282.749,19.479,308.9,314.7,314.2,314.2,314.7,313.9,316.5,315.6,310.7,312.8,312.2,314.4,315.0,313.7,315.9,314.4,311.5,312.8,315.1,314.9
23-04-18_19:37:25,1,zlib,262144,41943040,4,312.03,2836678734,-35.465,18.127,-8.669,False,285.274,19.558,310.3,311.1,312.1,312.2,310.7,312.8,310.6,312.7,311.1,310.7,313.0,312.6,311.5,314.6,313.4,313.7,313.6,311.3,310.8,311.9
23-04-18_19:44:54,1,zstd,262144,31457280,4,492.16,2636437956,1.788,23.906,12.847,False,430.632,18.636,492.3,492.2,493.2,491.5,491.7,491.3,492.0,488.4,493.3,493.5,492.9,493.0,497.1,492.4,491.9,492.0,490.9,491.0,492.1,490.3
23-04-18_19:49:54,1,zlib,262144,41943040,4,310.13,2836678734,-35.859,18.127,-8.866,False,279.903,19.554,307.5,310.3,310.3,309.9,309.5,311.1,309.1,311.0,311.6,310.6,308.6,311.9,311.0,311.0,309.8,309.9,309.6,309.9,309.7,310.2
