time,number_of_changes,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-19_07:46:35,0,lz4,65536,52428800,1,489.73,2306293718,0.000,0.000,0.000,True,0.000,26.612,480.4,482.6,489.6,488.3,488.4,485.3,487.2,489.8,484.9,486.8,489.3,487.5,486.8,488.8,485.4,542.7,489.0,488.8,485.4,487.7
23-04-19_08:03:48,1,lzma,65536,52428800,1,40.81,1852009101,-91.667,19.698,-35.985,False,862.057,170.866,40.8,41.1,41.0,40.9,41.0,41.0,40.8,41.1,40.7,40.6,40.5,40.6,40.5,41.1,40.6,40.7,40.6,40.9,40.5,41.1
23-04-19_08:06:38,3,zstd,131072,41943040,1,635.85,1989987753,29.836,13.715,21.775,True,147.905,22.121,631.9,635.9,632.6,650.2,631.3,634.1,635.7,640.6,634.2,639.5,639.0,638.8,630.9,632.1,633.5,633.6,641.0,637.0,631.0,634.1
23-04-19_08:08:50,1,zlib,131072,41943040,1,323.53,2098368570,-33.937,9.016,-12.461,False,100.240,31.405,319.2,324.2,326.1,323.3,323.7,321.4,323.4,321.5,325.1,320.8,324.8,323.9,324.9,323.3,325.4,320.8,320.2,327.6,326.4,324.6
23-04-19_08:11:41,1,zstd,131072,31457280,1,631.92,1983694479,29.034,13.988,21.511,True,148.936,22.042,629.0,644.5,630.1,632.5,631.3,634.5,629.7,630.6,627.9,630.8,628.0,627.5,633.3,631.8,629.7,633.4,636.4,633.0,632.0,632.5
23-04-19_08:13:45,1,lz4,131072,31457280,1,688.84,2285917761,40.656,0.883,20.770,True,101.453,22.864,686.9,685.5,703.3,703.1,685.4,685.2,680.7,686.3,685.5,685.4,685.8,685.4,712.7,682.2,691.8,687.4,681.1,683.0,694.9,685.3
23-04-19_08:15:48,1,lz4,131072,41943040,1,711.55,2288603455,45.295,0.767,23.031,True,100.483,22.776,715.7,715.2,717.7,741.3,722.0,701.7,707.7,705.0,709.0,711.1,709.2,710.1,709.4,710.4,710.6,704.3,707.7,713.4,710.3,699.2
23-04-19_08:18:02,3,zlib,131072,52428800,2,318.81,2097381048,-34.901,9.058,-12.921,False,100.962,32.635,317.3,319.4,319.5,316.9,316.6,316.6,319.3,313.9,320.3,318.6,317.3,321.6,317.1,318.8,321.6,317.5,321.4,323.9,319.4,319.1
23-04-19_08:20:07,1,lz4,131072,41943040,2,698.68,2288603455,42.666,0.767,21.717,True,102.177,22.998,705.6,698.8,709.8,692.5,693.4,700.2,706.4,694.4,708.3,702.7,691.5,693.9,694.3,695.0,700.9,697.3,689.4,701.1,696.9,701.1
23-04-19_08:22:21,3,zlib,262144,41943040,1,331.78,2088276165,-32.252,9.453,-11.399,False,102.700,31.361,328.7,334.8,328.6,329.8,331.2,334.2,332.6,334.8,333.1,332.3,332.1,330.5,333.7,329.8,330.9,330.7,330.7,329.1,331.8,336.0
23-04-19_08:24:23,2,lz4,65536,52428800,2,552.75,2306293715,12.868,0.000,6.434,False,96.655,25.374,547.9,554.2,550.7,554.9,550.0,550.8,555.3,550.1,551.6,551.4,553.8,554.0,554.6,552.2,552.7,553.3,554.5,552.6,554.5,556.1
23-04-19_08:26:34,2,zlib,131072,41943040,1,314.38,2098368570,-35.806,9.016,-13.395,False,99.089,31.827,312.1,318.6,317.6,312.7,314.7,317.5,317.8,310.2,313.9,313.4,313.1,311.9,315.2,316.6,312.7,312.0,315.5,312.7,316.0,313.2
23-04-19_08:28:42,2,lz4,262144,41943040,1,874.57,2273221365,78.582,1.434,40.008,True,106.162,21.375,868.6,874.8,873.0,862.1,876.7,873.5,864.3,876.2,879.2,884.1,871.5,870.4,891.9,896.0,872.8,876.6,868.1,867.8,871.5,872.1
23-04-19_08:30:55,2,zlib,262144,52428800,1,349.09,2085553083,-28.718,9.571,-9.574,False,102.471,30.743,345.5,351.0,350.4,351.7,353.1,351.6,346.3,346.9,348.5,349.4,345.8,349.8,351.6,344.1,350.0,349.0,352.6,345.4,352.9,346.1
