time,number_of_changes,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-21_12:51:59,0,lz4,65536,52428800,1,798.88,1103484973,0.000,0.000,0.000,True,0.000,37.459,783.2,769.7,784.5,784.6,865.9,781.9,775.0,779.4,852.8,849.9,772.9,779.9,776.9,828.3,795.1,764.3,859.2,816.7,791.9,765.4
23-04-21_12:53:02,1,lz4,65536,41943040,1,1000.10,1103488056,25.188,-0.000,12.594,True,28.988,33.628,979.9,993.4,996.7,1010.5,1026.4,1002.8,1002.5,981.9,986.9,992.0,1002.3,1013.9,1002.4,992.8,1022.8,989.7,1005.2,997.8,998.1,1004.2
23-04-21_12:54:04,1,lz4,65536,41943040,2,1067.58,1103488056,33.635,-0.000,16.817,True,28.803,33.486,1043.9,1173.2,1057.6,1041.6,1027.5,1132.8,1048.2,1047.8,1029.0,1049.9,1036.3,1067.8,1058.5,1039.5,1162.6,1034.1,1046.3,1031.1,1039.8,1184.3
23-04-21_12:55:09,4,zstd,131072,31457280,1,1020.77,1048104359,27.775,5.019,16.397,False,34.189,30.822,1018.1,1041.5,1016.6,1025.7,1024.8,1013.7,1013.9,1018.7,1009.2,1026.7,1023.9,1007.0,1035.2,1010.5,1019.3,1028.9,1012.7,1014.1,1025.8,1029.1
23-04-21_12:56:16,1,zstd,65536,41943040,2,923.78,1050042633,15.635,4.843,10.239,False,33.537,33.367,920.6,912.6,937.2,918.8,932.2,931.9,910.6,920.0,915.9,930.9,925.5,928.6,938.2,917.3,935.2,909.4,935.2,923.4,920.1,912.0
23-04-21_12:57:20,2,lz4,32768,52428800,2,876.12,1107290140,9.669,-0.345,4.662,False,26.399,37.233,885.1,860.6,860.7,879.9,862.8,878.2,869.5,864.3,880.3,874.0,905.8,937.1,878.3,871.4,878.5,870.8,865.8,855.5,864.7,879.2
23-04-21_12:58:22,1,lz4,65536,41943040,3,1070.18,1103488056,33.961,-0.000,16.980,True,29.002,33.249,1077.1,1061.9,1064.1,1067.0,1059.7,1071.1,1079.3,1067.0,1054.8,1052.2,1067.3,1071.5,1051.8,1080.9,1074.6,1102.6,1086.0,1086.2,1069.8,1058.7
23-04-21_12:59:24,1,lz4,32768,41943040,3,969.54,1107272742,21.363,-0.343,10.510,False,26.407,35.517,955.2,974.7,973.7,975.4,964.6,980.3,958.9,959.7,977.2,957.7,969.3,966.9,959.0,961.2,960.5,959.5,1008.0,977.4,974.6,977.4
23-04-21_13:00:27,1,lz4,32768,41943040,3,969.96,1107272742,21.415,-0.343,10.536,False,26.325,36.363,967.0,954.8,949.6,954.2,960.2,977.7,1089.0,956.1,953.3,967.8,969.5,965.2,968.6,976.4,968.9,968.3,970.7,964.4,948.5,968.7
23-04-21_13:02:19,3,zlib,32768,41943040,4,296.79,1077071657,-62.849,2.394,-30.228,False,30.390,81.539,296.7,298.1,295.3,298.0,295.9,294.8,296.4,297.4,296.4,296.7,297.9,296.3,295.3,296.6,295.3,297.4,295.1,300.8,297.0,298.3
23-04-21_13:03:22,1,lz4,65536,41943040,4,1091.65,1103488056,36.648,-0.000,18.324,True,29.239,33.323,1099.9,1087.5,1100.8,1078.4,1089.7,1098.1,1093.2,1088.9,1085.7,1088.3,1094.1,1090.7,1087.0,1097.2,1100.2,1098.2,1095.3,1069.5,1091.7,1098.6
23-04-21_13:05:13,3,zlib,32768,31457280,4,299.92,1076890713,-62.457,2.410,-30.023,False,30.163,80.421,299.4,298.2,300.4,300.6,301.5,300.1,301.6,298.9,301.4,300.3,299.6,299.8,298.3,300.1,299.4,302.9,298.4,298.2,299.6,299.9
23-04-21_13:06:15,1,lz4,65536,52428800,4,1104.44,1103484969,38.248,0.000,19.124,True,28.781,33.593,1107.2,1094.3,1109.4,1088.1,1097.9,1109.6,1096.8,1100.2,1134.2,1108.1,1108.2,1098.0,1104.5,1098.3,1111.6,1098.7,1096.6,1114.2,1101.5,1111.3
23-04-21_13:21:32,1,lzma,65536,52428800,4,31.73,1001240393,-96.028,9.266,-43.381,False,196.185,720.276,31.9,31.8,31.7,32.0,31.7,31.6,31.7,32.0,31.8,31.9,31.9,31.6,31.7,31.6,31.6,31.7,31.6,31.6,31.6,31.6
23-04-21_13:22:43,3,zstd,65536,104857600,5,925.89,1050003126,15.899,4.847,10.373,False,33.857,37.457,921.3,921.5,921.4,928.9,931.9,919.3,920.6,929.1,919.7,932.3,920.7,920.5,931.0,930.0,928.9,919.7,919.2,920.7,928.9,952.4
23-04-21_13:24:39,3,zlib,32768,104857600,4,297.34,1076999875,-62.780,2.400,-30.190,False,29.997,86.230,297.0,297.3,294.9,296.2,296.0,294.5,298.3,297.8,298.4,301.2,297.7,296.3,300.1,297.1,298.1,296.6,296.1,298.5,298.4,296.1
23-04-21_13:39:56,3,lzma,65536,41943040,5,31.80,1001262057,-96.019,9.264,-43.378,False,197.494,718.502,31.8,31.8,32.0,31.9,32.0,32.0,32.0,31.9,31.5,31.9,31.8,31.5,31.8,31.8,31.5,31.8,31.7,31.7,31.7,31.7
23-04-21_13:55:12,2,lzma,65536,52428800,5,31.71,1001240393,-96.031,9.266,-43.383,False,195.180,721.557,31.7,31.6,31.8,31.6,31.8,31.9,31.6,31.8,31.6,31.9,31.8,31.6,31.8,31.8,31.5,31.8,31.6,31.5,31.6,31.8
23-04-21_13:56:15,1,lz4,65536,104857600,4,1135.36,1103445492,42.119,0.004,21.061,True,28.853,33.593,1126.7,1128.1,1121.5,1237.3,1124.3,1131.1,1109.2,1217.7,1129.1,1124.9,1137.6,1123.7,1120.6,1133.8,1109.0,1132.2,1126.0,1119.3,1147.4,1107.8
23-04-21_13:57:22,1,lz4,65536,209715200,4,1108.48,1103463112,38.755,0.002,19.378,False,29.089,37.429,1107.2,1112.8,1087.8,1110.7,1104.6,1107.3,1109.7,1101.7,1115.9,1102.9,1115.7,1106.3,1119.4,1113.4,1104.3,1103.9,1117.8,1115.1,1106.2,1107.2
