time,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),memory,throughput_increase(%),size_decrease(%),memory_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-24_17:18:47,lz4,65536,52428800,1,755.69,1091048421,394856,0.000,0.000,0.000,0.000,True,0.001,50.310,756.2,764.5,748.6,758.9,763.0,751.8,772.2,753.2,766.7,716.4,731.1,760.1,738.2,748.9,766.3,768.1,748.9,767.1,766.8,766.8
23-04-24_17:20:40,lz4,65536,41943040,1,1015.10,1091066888,350036,34.328,-0.002,11.351,15.226,True,63.982,49.481,1014.0,1012.0,1012.6,1019.1,1011.5,1019.5,1011.7,1015.5,1012.1,1022.1,1014.8,1015.1,1018.6,1013.2,1024.5,1011.5,1006.8,1018.8,1012.8,1015.9
23-04-24_17:22:37,lz4,65536,41943040,2,1035.19,1091066888,402132,36.985,-0.002,-1.843,11.714,False,65.976,51.190,1039.6,1024.7,1032.0,1036.6,1029.2,1032.2,1037.1,1027.0,1039.2,1027.2,1033.2,1036.3,1077.4,1034.9,1031.9,1027.5,1034.0,1036.9,1031.1,1035.8
23-04-24_17:24:36,lz4,131072,41943040,1,1107.13,1085114298,350000,46.506,0.544,11.360,19.470,True,68.760,50.073,1098.8,1094.2,1102.2,1100.9,1102.2,1096.6,1098.2,1101.5,1104.1,1106.5,1106.4,1102.3,1099.1,1103.3,1101.5,1110.1,1150.4,1165.6,1102.2,1096.4
23-04-24_17:26:34,lz4,131072,41943040,2,1098.37,1085114298,400880,45.347,0.544,-1.526,14.788,False,66.623,50.890,1099.0,1114.0,1093.5,1108.1,1103.9,1094.0,1103.2,1097.0,1097.0,1091.3,1094.3,1101.2,1090.0,1094.8,1103.8,1095.5,1105.0,1104.3,1088.0,1089.5
23-04-24_17:28:32,lz4,131072,41943040,2,1078.32,1085114298,400704,42.694,0.544,-1.481,13.919,False,67.432,50.873,1080.1,1081.0,1079.0,1081.7,1069.6,1072.1,1081.9,1072.2,1078.5,1080.7,1075.6,1076.3,1082.4,1074.8,1073.3,1080.4,1082.0,1078.5,1076.6,1089.6
23-04-24_17:30:34,zstd,131072,41943040,1,1017.37,875501554,371288,34.628,19.756,5.969,20.117,True,67.739,54.210,986.9,986.7,1027.9,1045.1,1032.7,994.7,992.9,1040.3,1018.2,1031.0,1045.3,1033.6,984.8,1043.1,1024.3,1028.7,984.9,984.9,1036.0,1025.2
23-04-24_17:32:36,zstd,131072,41943040,2,964.71,875501554,396476,27.659,19.756,-0.410,15.668,False,67.739,53.446,967.8,964.5,962.0,965.7,970.4,966.8,963.2,957.7,965.7,960.5,964.7,943.1,975.3,969.4,971.7,965.5,970.6,964.1,962.0,963.3
23-04-24_17:34:35,zstd,131072,52428800,1,971.39,875508317,347480,28.544,19.755,11.998,20.099,True,66.448,52.978,982.5,970.0,969.6,973.2,968.4,973.5,970.7,974.9,965.3,968.8,969.4,959.0,973.6,971.2,970.0,977.0,970.5,968.2,979.4,972.8
23-04-24_17:36:36,zstd,131072,104857600,1,979.34,875531619,352496,29.595,19.753,10.728,20.026,True,68.216,52.752,984.0,973.1,976.2,976.5,980.3,984.8,980.2,984.9,975.1,982.3,971.7,975.2,980.8,979.0,975.9,979.2,979.3,984.0,985.4,979.1
