time,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),memory,throughput_increase(%),size_decrease(%),memory_decrease(%),performance(%),accepted,writing_time,processing_time,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,throughput_10,throughput_11,throughput_12,throughput_13,throughput_14,throughput_15,throughput_16,throughput_17,throughput_18,throughput_19,memory_0,memory_1,memory_2,memory_3,memory_4,memory_5,memory_6,memory_7,memory_8,memory_9,memory_10,memory_11,memory_12,memory_13,memory_14,memory_15,memory_16,memory_17,memory_18,memory_19
23-04-25_17:36:46,lz4,65536,52428800,1,747.42,1091048421,395213.60,0.000,0.000,0.000,0.000,True,0.000,50.268,747.3,750.7,754.2,753.4,734.2,744.4,750.6,746.3,752.7,725.4,747.8,749.7,753.1,746.9,744.1,747.6,752.3,749.8,752.8,745.1,395084.0,394668.0,395120.0,395808.0,396472.0,395924.0,395972.0,395536.0,394900.0,394796.0,394764.0,394640.0,396540.0,394440.0,395188.0,394660.0,394484.0,394480.0,395820.0,394976.0
23-04-25_17:38:42,lz4,65536,104857600,1,977.41,1091061487,413454.00,30.771,-0.001,-4.615,8.718,True,66.038,49.532,972.5,970.5,1010.3,976.8,976.8,955.1,977.8,994.2,965.9,994.4,990.7,1003.0,977.3,967.3,965.5,965.5,992.1,953.4,971.8,967.5,430804.0,432188.0,402484.0,431300.0,371556.0,431844.0,371488.0,431812.0,431476.0,371480.0,400752.0,400520.0,371076.0,430744.0,432244.0,432080.0,400552.0,432064.0,431400.0,431216.0
23-04-25_17:40:37,lz4,65536,157286400,1,994.33,1091064035,359293.60,33.035,-0.001,9.089,14.041,True,65.177,49.966,990.1,985.2,979.8,991.9,1042.0,1019.5,979.2,981.3,986.5,1040.9,974.4,986.8,989.3,997.4,981.7,982.4,1041.2,976.6,989.8,970.4,359392.0,358996.0,359884.0,359708.0,358828.0,359020.0,359088.0,359760.0,359120.0,360448.0,359660.0,358932.0,359428.0,358416.0,358360.0,359776.0,359116.0,359916.0,359104.0,358920.0
23-04-25_17:42:34,lz4,65536,157286400,2,992.43,1091064035,434748.60,32.780,-0.001,-10.003,7.592,False,64.841,52.254,995.0,972.0,983.9,992.7,983.9,989.5,990.6,992.8,991.6,986.1,996.3,992.8,976.4,1010.7,1034.4,1007.7,984.1,978.8,996.2,993.2,418812.0,479772.0,480596.0,419884.0,480804.0,419048.0,419812.0,420304.0,420872.0,479772.0,419184.0,419296.0,419148.0,418832.0,419888.0,420152.0,480188.0,419304.0,419164.0,420140.0
23-04-25_17:44:35,zstd,65536,157286400,1,835.36,874250235,368504.60,11.765,19.871,6.758,12.798,False,65.556,55.823,835.3,839.8,831.0,828.1,829.3,827.9,829.9,835.1,851.6,843.3,837.8,832.2,859.3,835.4,829.4,832.3,836.5,833.4,822.9,836.6,368088.0,368976.0,368172.0,369520.0,367824.0,367608.0,369524.0,368144.0,368840.0,369028.0,368200.0,368168.0,368968.0,368108.0,368824.0,368524.0,368768.0,368752.0,368096.0,367960.0
23-04-25_17:46:31,lz4,65536,157286400,2,994.12,1091064035,440648.00,33.006,-0.001,-11.496,7.170,False,63.773,52.013,1001.6,987.2,994.6,1022.9,1026.6,1000.2,1002.5,989.5,991.1,1002.2,983.4,997.8,979.5,994.5,988.1,985.0,995.3,985.1,974.0,981.0,419280.0,419040.0,479748.0,419008.0,419372.0,420300.0,419424.0,420172.0,480232.0,419012.0,479712.0,420316.0,479544.0,480144.0,419408.0,419484.0,419056.0,420112.0,479704.0,479892.0
23-04-25_17:48:27,lz4,131072,157286400,1,1071.13,1085257652,387756.00,43.310,0.531,1.887,15.243,True,66.692,49.352,1084.8,1070.9,1085.4,1065.9,1074.4,1073.6,1065.8,1074.7,1069.6,1078.7,1051.7,1066.2,1074.4,1075.1,1062.6,1069.8,1060.6,1078.1,1063.8,1076.3,387700.0,387936.0,387684.0,387092.0,387440.0,387600.0,388160.0,387344.0,386884.0,387456.0,388488.0,388392.0,387788.0,387100.0,388580.0,388500.0,388172.0,387688.0,387464.0,387652.0
23-04-25_17:50:21,lz4,65536,157286400,1,963.86,1091064035,359332.40,28.959,-0.001,9.079,12.679,False,63.941,49.452,966.0,964.1,958.0,960.3,960.0,969.9,959.4,967.4,969.5,965.9,967.7,971.8,968.8,966.4,965.3,963.1,962.1,958.1,963.7,949.7,359468.0,359416.0,358784.0,359108.0,359912.0,359832.0,359116.0,358824.0,359924.0,358912.0,358784.0,359768.0,359832.0,359820.0,358556.0,359844.0,360456.0,358784.0,358688.0,358820.0
23-04-25_17:52:23,zstd,131072,157286400,1,964.93,875455134,342505.00,29.101,19.760,13.337,20.733,True,68.333,53.345,959.3,948.8,957.9,964.5,962.7,964.2,960.3,950.4,961.0,1005.0,963.3,964.6,969.4,956.5,954.5,962.8,956.4,965.2,1009.7,961.9,343116.0,342480.0,342128.0,342120.0,343060.0,343096.0,341980.0,342120.0,343840.0,342148.0,342144.0,342400.0,343088.0,342172.0,342384.0,343260.0,342124.0,342128.0,342132.0,342180.0
23-04-25_17:54:24,zstd,131072,157286400,2,906.89,875455134,415543.00,21.335,19.760,-5.144,11.984,False,67.465,54.235,779.5,676.6,614.8,660.8,944.2,964.4,959.1,965.5,961.0,964.4,967.7,964.6,966.6,978.1,959.7,959.4,957.9,964.7,962.9,965.7,418640.0,417516.0,393636.0,393436.0,418456.0,417740.0,418424.0,418140.0,418392.0,418804.0,417296.0,417448.0,418660.0,417716.0,417732.0,418632.0,417864.0,417700.0,417280.0,417348.0
