time,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),memory,throughput_increase(%),size_decrease(%),memory_decrease(%),performance(%),accepted,writing_time,processing_time,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,throughput_10,throughput_11,throughput_12,throughput_13,throughput_14,throughput_15,throughput_16,throughput_17,throughput_18,throughput_19,memory_0,memory_1,memory_2,memory_3,memory_4,memory_5,memory_6,memory_7,memory_8,memory_9,memory_10,memory_11,memory_12,memory_13,memory_14,memory_15,memory_16,memory_17,memory_18,memory_19
23-04-25_20:55:25,lz4,65536,52428800,1,488.93,3464719652,317704.00,0.000,0.000,0.000,0.000,True,0.000,18.556,488.3,486.8,486.6,485.0,487.7,491.2,487.9,484.2,486.4,484.7,482.8,491.5,486.4,486.3,491.7,486.8,488.2,490.0,503.9,502.5,318584.0,317772.0,318348.0,317976.0,317352.0,317828.0,317856.0,317616.0,317168.0,317116.0,317228.0,318184.0,317980.0,316836.0,317552.0,317148.0,317984.0,317072.0,318152.0,318328.0
23-04-25_21:00:29,lz4,65536,52428800,2,533.38,3464719649,318734.20,9.092,0.000,-0.324,2.923,True,285.514,18.439,526.6,530.3,529.6,531.5,546.6,529.9,533.6,529.7,530.5,532.3,546.0,515.1,545.6,548.7,529.6,532.3,538.7,531.7,530.9,528.3,319332.0,319344.0,318988.0,317988.0,318476.0,319332.0,319300.0,318272.0,318676.0,318024.0,318244.0,319292.0,319276.0,318976.0,319152.0,318216.0,318236.0,318244.0,317996.0,319320.0
23-04-25_21:05:32,lz4,65536,52428800,3,526.95,3464719649,319486.80,7.777,0.000,-0.561,2.405,True,284.226,19.105,521.7,527.2,525.7,527.5,523.2,540.1,527.1,525.5,524.8,524.9,526.7,539.3,525.5,527.4,523.7,525.5,523.4,533.7,524.1,522.2,319996.0,319240.0,319320.0,319104.0,319172.0,319436.0,319368.0,318544.0,319312.0,320064.0,318832.0,321132.0,319832.0,319160.0,318980.0,319220.0,318912.0,320172.0,320360.0,319580.0
23-04-25_21:10:38,lz4,65536,104857600,3,464.34,3456185337,302116.00,-5.028,0.246,4.906,0.042,False,287.039,18.858,465.8,465.6,464.8,466.4,465.7,462.7,464.8,465.8,464.7,465.0,464.4,465.3,465.4,456.9,465.5,459.7,461.0,466.4,464.4,466.5,301648.0,301692.0,301752.0,301960.0,301692.0,301284.0,302788.0,301596.0,303320.0,302188.0,303252.0,303256.0,301276.0,302196.0,302672.0,301620.0,301660.0,302220.0,301552.0,302696.0
23-04-25_21:15:44,lz4,65536,52428800,2,522.04,3464719649,318700.00,6.771,0.000,-0.313,2.153,False,287.002,19.047,520.5,520.2,535.7,522.2,521.7,520.3,517.3,535.1,522.3,529.5,516.9,522.3,520.8,520.3,517.8,518.2,518.4,516.0,523.4,522.1,319936.0,317892.0,318712.0,319144.0,318948.0,318008.0,318836.0,318952.0,318020.0,318900.0,319208.0,318392.0,318696.0,318440.0,317724.0,319312.0,318836.0,318280.0,318264.0,319500.0
23-04-25_21:20:51,lz4,131072,52428800,3,599.79,3415345702,312853.40,22.675,1.425,1.527,8.542,True,288.168,18.668,598.8,601.9,602.1,601.8,600.5,602.6,602.5,606.7,600.8,602.9,585.3,587.8,600.8,599.6,602.4,599.8,597.1,600.5,601.8,600.1,312668.0,314320.0,312656.0,312612.0,312088.0,313672.0,312692.0,313396.0,312116.0,312556.0,311896.0,313496.0,313348.0,311560.0,313124.0,312648.0,313624.0,311764.0,313032.0,313800.0
23-04-25_21:26:22,lz4,131072,41943040,3,561.21,3421053218,321491.80,14.784,1.260,-1.192,4.951,True,312.291,19.018,549.0,554.9,566.3,567.3,567.2,568.2,561.0,548.7,567.6,564.5,546.4,554.4,567.1,554.6,555.1,568.9,565.5,567.0,566.4,564.2,322360.0,320792.0,321044.0,322028.0,320976.0,321044.0,321236.0,320928.0,322516.0,322576.0,321356.0,320364.0,320352.0,321480.0,322192.0,321188.0,323076.0,321436.0,320820.0,322072.0
23-04-25_21:31:42,lz4,65536,41943040,3,513.74,3465749510,327915.20,5.074,-0.030,-3.214,0.610,False,299.752,19.334,515.3,512.9,518.4,526.3,510.3,509.5,511.6,513.9,513.1,509.4,514.4,511.2,514.3,511.4,513.4,508.5,511.8,511.9,513.4,523.7,327884.0,327384.0,327816.0,328116.0,328712.0,327912.0,327544.0,327804.0,327168.0,327892.0,328664.0,327664.0,328528.0,327168.0,328636.0,327416.0,328064.0,328128.0,327168.0,328636.0
23-04-25_21:36:54,lz4,131072,52428800,3,604.43,3415345702,312577.60,23.624,1.425,1.614,8.887,True,294.592,18.021,601.6,592.3,607.3,608.4,604.7,605.0,602.8,606.6,605.8,604.2,608.0,605.7,604.0,605.3,604.7,601.2,602.7,606.6,605.4,606.3,312340.0,311772.0,313464.0,313328.0,312424.0,312108.0,313240.0,312284.0,313176.0,313332.0,311820.0,312212.0,313544.0,312660.0,311812.0,313232.0,312152.0,312136.0,312384.0,312132.0
23-04-25_21:44:16,zstd,131072,52428800,3,588.80,2671685385,304191.60,20.427,22.889,4.253,15.856,True,422.934,18.389,589.5,590.0,585.2,591.4,590.9,593.6,587.3,588.2,587.0,584.8,589.2,583.8,589.3,587.2,594.1,591.4,584.2,587.6,588.4,592.8,304672.0,304140.0,304540.0,304792.0,304916.0,303600.0,303656.0,303436.0,304524.0,304192.0,305108.0,303904.0,304656.0,304988.0,303508.0,303712.0,303660.0,303664.0,304728.0,303436.0
