time,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),memory,throughput_increase(%),size_decrease(%),memory_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-25_06:00:46,lz4,65536,52428800,1,481.64,2306293718,296368,0.000,0.000,0.000,0.000,True,0.000,26.848,478.1,479.9,475.5,480.3,483.8,482.4,483.7,483.2,482.7,483.3,483.1,483.8,479.2,484.7,484.3,481.8,482.8,479.6,479.5,481.2
23-04-25_06:02:52,lz4,131072,52428800,1,712.72,2286739546,294804,47.977,0.848,0.528,16.451,True,102.633,23.018,710.6,707.2,712.2,704.9,709.2,711.4,713.6,717.4,717.3,711.0,715.2,718.2,718.2,708.6,710.0,717.2,703.8,719.6,713.1,715.7
23-04-25_06:05:00,lz4,262144,52428800,1,818.77,2272736473,288508,69.996,1.455,2.652,24.701,True,105.918,21.883,820.8,832.7,807.0,816.8,812.3,827.0,812.5,813.0,814.9,818.1,818.3,819.3,804.3,819.7,816.7,833.0,820.5,818.2,814.8,835.7
23-04-25_06:07:35,zstd,262144,52428800,1,722.78,1965975445,287780,50.066,14.756,2.898,22.573,False,133.805,21.770,724.9,715.1,723.2,715.3,735.8,711.6,715.5,720.0,724.7,724.8,725.9,714.3,716.2,718.2,739.9,720.2,723.6,723.7,723.3,739.4
23-04-25_06:09:43,lz4,262144,104857600,1,798.70,2272685626,302920,65.829,1.457,-2.211,21.692,False,105.844,22.224,790.6,795.8,804.1,800.1,798.8,800.6,796.0,797.7,801.4,797.0,799.8,802.2,793.8,805.6,802.5,788.1,793.9,802.3,799.2,804.4
23-04-25_06:11:52,lz4,524288,52428800,1,851.83,2267408447,294612,76.859,1.686,0.593,26.379,True,107.270,21.428,859.4,872.2,844.5,860.9,864.4,860.4,834.8,849.8,842.4,848.6,856.0,855.7,837.7,845.6,852.7,841.5,858.2,852.5,846.3,852.9
23-04-25_06:14:01,lz4,524288,52428800,2,834.21,2267408447,299236,73.202,1.686,-0.968,24.640,True,107.201,21.638,828.5,833.2,835.7,835.0,834.8,825.2,838.5,836.0,839.4,834.6,828.9,829.1,841.5,842.1,834.2,830.2,837.0,830.6,831.8,838.0
23-04-25_06:16:11,lz4,524288,52428800,3,821.22,2267408447,310328,70.504,1.686,-4.710,22.493,False,107.909,22.031,816.1,820.8,827.6,806.5,824.7,822.8,816.7,824.4,809.1,824.7,816.6,830.9,825.1,824.4,821.0,829.5,820.1,822.8,818.1,822.5
23-04-25_06:18:22,lz4,524288,52428800,1,801.37,2267408447,289708,66.384,1.686,2.247,23.439,True,109.489,21.772,794.8,796.6,805.3,798.6,806.8,804.9,797.6,801.8,802.9,815.3,801.0,799.7,791.0,797.3,799.9,798.0,804.1,799.6,800.5,811.8
23-04-25_06:20:33,lz4,524288,52428800,2,818.25,2267408447,300488,69.887,1.686,-1.390,23.394,True,108.550,21.839,818.6,818.1,822.7,820.9,814.1,809.3,823.4,822.2,812.1,818.1,808.9,820.1,816.2,822.9,827.0,824.0,821.0,814.1,812.2,819.0
23-04-25_06:22:42,lz4,524288,52428800,1,844.93,2267408447,304120,75.427,1.686,-2.616,24.832,True,107.751,21.376,847.0,840.3,851.2,840.4,858.8,837.1,857.5,841.4,855.5,830.6,840.3,832.0,841.1,850.4,846.2,850.5,850.0,840.8,844.3,843.2
23-04-25_06:24:52,lz4,524288,104857600,1,889.63,2264147157,307824,84.707,1.827,-3.865,27.556,True,108.985,21.308,892.9,886.9,880.8,889.7,895.0,878.4,889.9,893.6,903.3,896.2,894.7,883.3,887.9,887.5,887.1,890.3,885.6,892.4,886.4,890.6
23-04-25_06:26:55,zstd,524288,104857600,1,817.67,1950825062,308892,69.767,15.413,-4.226,26.985,True,101.344,21.330,815.8,802.6,815.1,809.4,816.8,812.5,814.0,815.0,810.8,820.3,812.8,815.3,846.3,828.1,814.9,820.6,817.0,805.5,846.5,814.3
23-04-25_06:29:02,zstd,1048576,104857600,1,859.23,1948353074,321720,78.396,15.520,-8.554,28.454,True,106.392,20.915,858.9,856.3,856.5,846.5,887.8,852.1,855.2,849.1,888.3,881.0,850.1,852.0,856.3,852.9,836.5,858.1,857.1,860.7,843.3,885.8
23-04-25_06:31:12,lz4,1048576,104857600,1,951.16,2261544877,311492,97.484,1.940,-5.103,31.440,True,109.328,20.789,950.7,952.0,949.9,952.8,945.2,944.5,952.2,953.4,950.2,941.3,947.6,956.6,945.1,948.3,948.1,968.6,946.7,955.2,965.3,949.5
23-04-25_06:33:22,lz4,1048576,104857600,2,976.20,2261544877,341556,102.682,1.940,-15.247,29.792,False,108.436,20.766,982.2,959.4,973.4,986.4,981.7,979.3,978.4,985.1,984.3,976.8,981.1,971.7,982.8,955.5,983.1,960.5,982.9,961.8,974.3,983.2
23-04-25_06:35:33,lz4,2097152,104857600,1,1074.08,2260127456,311328,123.004,2.002,-5.048,39.986,True,111.656,20.125,1076.6,1103.7,1070.7,1073.5,1078.0,1081.8,1065.8,1067.4,1064.9,1075.4,1070.9,1089.6,1073.8,1070.9,1063.7,1076.6,1072.3,1065.0,1075.8,1065.1
23-04-25_06:37:45,lz4,2097152,104857600,2,1011.53,2260127456,339500,110.017,2.002,-14.554,32.488,False,111.127,20.463,1015.0,1013.5,1008.1,1012.9,1013.4,1010.8,1012.6,1000.1,1014.4,1018.8,1012.2,1010.8,1014.1,1009.9,1015.2,1012.2,999.4,1013.3,1013.6,1010.4
23-04-25_06:39:56,lz4,2097152,157286400,1,1044.63,2258885708,350792,116.890,2.056,-18.364,33.527,False,110.940,20.401,1026.7,1040.1,1038.8,1039.6,1033.2,1032.1,1046.8,1049.2,1044.0,1045.4,1027.6,1040.2,1041.8,1084.0,1044.4,1060.5,1032.9,1044.8,1043.3,1077.1
