time,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),memory,throughput_increase(%),size_decrease(%),memory_decrease(%),performance(%),accepted,writing_time,processing_time,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,throughput_10,throughput_11,throughput_12,throughput_13,throughput_14,throughput_15,throughput_16,throughput_17,throughput_18,throughput_19,memory_0,memory_1,memory_2,memory_3,memory_4,memory_5,memory_6,memory_7,memory_8,memory_9,memory_10,memory_11,memory_12,memory_13,memory_14,memory_15,memory_16,memory_17,memory_18,memory_19
23-04-26_06:37:22,lz4,65536,52428800,1,477.96,2306293718,295519.20,0.000,0.000,0.000,0.000,True,0.000,27.098,468.9,479.1,473.4,476.7,477.4,477.6,468.0,478.4,478.6,479.7,497.9,478.6,478.0,479.6,479.1,478.9,476.9,479.1,478.9,474.4,295224.0,295172.0,295356.0,294780.0,295616.0,295520.0,296788.0,295188.0,295164.0,295116.0,295640.0,296072.0,295096.0,295192.0,296220.0,295272.0,295084.0,295240.0,296360.0,296284.0
23-04-26_06:39:25,lz4,65536,104857600,1,580.47,2306193264,304023.60,21.449,0.004,-2.878,6.192,True,97.550,25.122,565.3,578.1,659.4,576.1,580.9,559.2,582.9,575.8,581.8,572.7,558.1,574.6,579.8,582.2,579.4,587.7,581.6,574.8,577.8,581.3,304396.0,303924.0,303624.0,304124.0,303868.0,303360.0,304404.0,304488.0,305208.0,303952.0,304164.0,303648.0,303396.0,303952.0,303164.0,303216.0,304384.0,305208.0,303468.0,304524.0
23-04-26_06:42:08,zstd,65536,104857600,1,477.09,2006113976,307908.00,-0.181,13.016,-4.192,2.881,False,138.006,25.396,479.4,476.8,475.6,480.0,477.4,474.4,479.4,479.1,477.9,478.1,477.8,474.2,474.8,479.0,478.5,473.8,480.4,474.5,475.9,474.8,304392.0,316164.0,315356.0,304560.0,314948.0,314992.0,304508.0,305396.0,304524.0,304508.0,304612.0,304484.0,306104.0,304276.0,304468.0,304424.0,305236.0,304528.0,315604.0,315076.0
23-04-26_06:44:53,zstd,65536,104857600,1,481.94,2006113976,309172.40,0.833,13.016,-4.620,3.076,True,139.726,25.192,486.6,480.6,484.4,483.6,485.6,480.8,484.2,478.5,484.5,485.0,480.6,476.1,482.6,482.4,478.3,481.7,482.4,472.8,484.3,483.7,306028.0,315392.0,316164.0,314804.0,304516.0,315204.0,314912.0,304516.0,304172.0,305616.0,314976.0,305140.0,305264.0,306072.0,315104.0,304836.0,304404.0,315396.0,304836.0,306096.0
23-04-26_06:47:37,zstd,65536,157286400,1,472.23,2006440908,326245.00,-1.198,13.002,-10.397,0.469,False,138.444,25.545,473.5,472.4,472.1,468.1,471.8,472.2,466.8,473.5,467.0,474.5,475.2,474.0,464.6,473.3,475.2,474.0,476.4,471.7,473.4,475.0,319508.0,318532.0,318556.0,319720.0,319224.0,318660.0,319720.0,335228.0,318592.0,334408.0,334424.0,335392.0,320272.0,335008.0,334600.0,334764.0,334820.0,318732.0,318648.0,336092.0
23-04-26_06:50:21,zstd,65536,52428800,1,480.60,2006319361,293675.60,0.553,13.007,0.624,4.728,True,138.987,25.206,478.9,480.6,481.8,478.1,480.8,480.6,480.4,482.5,479.8,480.1,481.2,480.4,482.3,482.4,479.6,480.9,482.4,479.8,480.3,479.4,294864.0,294780.0,294216.0,294892.0,293824.0,294776.0,295732.0,293832.0,294468.0,294244.0,294052.0,295236.0,289568.0,294816.0,294132.0,294192.0,288932.0,294136.0,293896.0,288924.0
23-04-26_06:53:03,zstd,65536,41943040,1,483.54,2006322657,287903.00,1.168,13.007,2.577,5.584,True,136.997,24.986,483.5,483.9,485.3,478.9,478.2,478.5,485.2,482.2,483.4,481.8,479.3,484.1,484.0,495.6,482.9,483.9,481.1,481.8,483.3,494.0,286380.0,287704.0,287064.0,286436.0,291244.0,290520.0,287120.0,287484.0,287484.0,290480.0,296032.0,286152.0,286828.0,286416.0,286016.0,286052.0,290252.0,286128.0,286020.0,286248.0
23-04-26_06:55:49,zstd,65536,41943040,2,487.44,2006322657,293924.60,1.984,13.007,0.540,5.177,True,140.364,24.951,483.2,485.3,486.1,484.9,489.1,489.0,485.0,487.3,497.4,489.0,488.5,488.7,488.5,486.1,489.6,480.9,489.1,487.7,486.9,486.5,294840.0,300276.0,294832.0,294784.0,295244.0,290540.0,290384.0,290204.0,294464.0,291276.0,290500.0,291444.0,290660.0,296104.0,294696.0,298904.0,294300.0,295496.0,295232.0,294312.0
23-04-26_06:57:50,lz4,65536,41943040,2,585.59,2305176703,295440.00,22.519,0.048,0.027,7.532,True,96.831,24.540,587.6,588.0,586.3,576.8,589.7,585.8,587.5,581.8,582.6,589.5,588.7,588.2,593.0,588.0,581.8,580.1,579.2,588.6,580.6,587.9,295604.0,295548.0,296248.0,296648.0,296788.0,295652.0,292376.0,296048.0,296048.0,296764.0,293064.0,295972.0,296384.0,295700.0,295564.0,295328.0,295588.0,295532.0,295668.0,292276.0
23-04-26_06:59:54,lz4,65536,31457280,2,575.40,2303668841,293721.60,20.388,0.114,0.608,7.037,False,99.304,24.663,565.5,573.2,572.2,648.9,569.2,572.4,573.3,574.0,571.1,572.6,574.9,566.6,571.1,605.4,574.2,573.4,577.6,549.0,550.3,573.2,294860.0,294864.0,294152.0,293676.0,293680.0,294744.0,290708.0,294716.0,294172.0,290636.0,293448.0,293776.0,294148.0,291788.0,293852.0,294392.0,295600.0,293740.0,293740.0,293740.0
23-04-26_07:01:58,lz4,65536,41943040,1,547.81,2305176703,290168.00,14.615,0.048,1.811,5.491,False,98.571,25.593,548.5,546.5,541.2,547.5,547.8,547.5,549.9,546.4,541.8,547.7,540.0,543.9,547.4,547.9,548.9,539.3,540.5,539.4,528.1,615.7,292160.0,283432.0,290988.0,291764.0,291744.0,291260.0,291312.0,291480.0,292200.0,292904.0,290956.0,287024.0,291420.0,291256.0,283304.0,291248.0,291388.0,282512.0,292132.0,292876.0
23-04-26_07:04:42,zstd,65536,41943040,2,478.50,2006322657,293186.80,0.113,13.007,0.789,4.636,False,138.414,25.254,480.8,479.1,478.8,477.6,478.8,474.6,479.2,478.1,476.6,480.7,479.2,479.6,479.8,478.8,476.2,477.6,481.1,478.1,480.3,474.9,291480.0,296132.0,290336.0,294456.0,290544.0,294452.0,290704.0,295420.0,296112.0,295076.0,290300.0,291080.0,294524.0,290500.0,290116.0,294464.0,290640.0,294556.0,298584.0,294260.0
23-04-26_07:06:46,lz4,65536,41943040,1,567.53,2305176703,289664.00,18.741,0.048,1.981,6.924,True,98.288,25.268,554.1,565.8,561.7,565.8,565.0,553.5,636.2,564.8,566.6,562.6,577.3,564.5,563.5,564.5,565.5,560.7,560.6,565.8,566.9,565.3,291248.0,291000.0,291968.0,283220.0,283880.0,292960.0,290988.0,283020.0,292252.0,292144.0,291300.0,292232.0,291252.0,291696.0,291252.0,291764.0,283668.0,291268.0,292460.0,283708.0
23-04-26_07:08:51,lz4,131072,41943040,1,656.45,2288603455,286383.00,37.345,0.767,3.092,13.735,True,101.838,23.561,744.9,647.5,654.3,651.9,650.2,648.8,651.2,645.0,647.9,662.0,652.2,652.8,659.7,641.8,650.3,652.9,648.6,659.4,651.3,656.5,284652.0,285200.0,284216.0,285052.0,289420.0,288228.0,288952.0,288252.0,284652.0,285236.0,284892.0,285420.0,284888.0,284184.0,288332.0,285872.0,288384.0,288268.0,289264.0,284296.0
23-04-26_07:10:56,lz4,131072,41943040,2,673.12,2288603455,292344.60,40.834,0.767,1.074,14.225,True,101.895,23.357,680.3,666.4,662.3,670.8,660.5,689.7,661.6,672.6,664.8,667.3,672.2,666.3,683.8,676.2,691.8,676.3,664.3,686.0,679.7,669.6,292492.0,293792.0,288340.0,292512.0,294224.0,297676.0,289352.0,292940.0,292956.0,293572.0,292228.0,288672.0,293516.0,293660.0,294172.0,292304.0,293500.0,288628.0,288568.0,293788.0
23-04-26_07:13:47,zstd,131072,41943040,2,634.58,1989987753,293479.80,32.770,13.715,0.690,15.725,True,148.288,22.407,633.2,637.1,636.6,632.4,628.8,634.7,634.9,639.3,634.8,639.6,622.3,644.5,635.8,628.2,637.3,631.4,638.3,629.3,636.0,637.0,296636.0,295744.0,292624.0,296672.0,291824.0,292744.0,292080.0,292612.0,297100.0,292224.0,292132.0,291888.0,291776.0,292456.0,291836.0,292244.0,292960.0,296048.0,296200.0,291796.0
23-04-26_07:16:40,zstd,131072,31457280,2,616.32,1983694479,290262.00,28.950,13.988,1.779,14.905,False,150.504,22.526,616.1,615.0,617.8,618.0,629.0,616.0,614.7,618.4,615.8,616.4,614.5,614.7,613.4,615.7,614.6,615.0,614.0,613.8,615.6,618.1,290340.0,290036.0,290468.0,291612.0,289784.0,290352.0,287432.0,290708.0,293616.0,290904.0,290112.0,287656.0,289900.0,290260.0,290952.0,291108.0,290828.0,290612.0,291384.0,287176.0
23-04-26_07:18:46,lz4,131072,41943040,2,703.10,2288603455,292872.60,47.105,0.767,0.896,16.256,True,102.875,23.059,702.1,726.6,685.6,693.4,706.1,699.6,689.7,706.0,721.6,703.5,718.3,698.7,699.1,689.6,711.9,702.0,704.4,702.3,697.3,704.1,289536.0,288616.0,292532.0,293004.0,293556.0,288380.0,296740.0,293436.0,296700.0,293468.0,292540.0,297904.0,292532.0,289408.0,293196.0,292964.0,294236.0,292740.0,292744.0,293220.0
