time,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),memory,throughput_increase(%),size_decrease(%),memory_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-25_09:40:36,lz4,65536,52428800,1,800.33,1103484973,352940,0.000,0.000,0.000,0.000,True,0.000,37.908,796.5,777.6,794.0,783.9,779.2,780.9,781.1,781.5,876.0,862.8,864.4,846.1,789.3,774.9,797.9,784.7,774.6,791.3,787.4,782.4
23-04-25_09:41:39,lz4,65536,52428800,2,1058.44,1103484969,403324,32.251,0.000,-14.276,5.992,True,28.962,33.908,1044.8,1058.0,1060.2,1065.4,1057.2,1051.0,1068.1,1038.8,1047.6,1069.2,1038.2,1041.9,1056.9,1050.1,1048.6,1037.9,1037.9,1190.1,1035.0,1071.9
23-04-25_09:42:43,lz4,65536,52428800,3,1078.94,1103484969,461468,34.812,0.000,-30.750,1.354,False,29.551,34.195,1086.3,1067.6,1064.6,1074.5,1076.1,1096.7,1099.1,1072.1,1092.8,1068.0,1073.0,1068.6,1066.3,1074.2,1085.9,1076.5,1086.9,1073.9,1095.8,1079.8
23-04-25_09:43:46,lz4,65536,52428800,1,1060.16,1103484969,360852,32.465,0.000,-2.242,10.075,True,29.569,33.142,1046.2,1038.7,1032.7,1159.8,1159.0,1041.5,1037.7,1046.0,1031.9,1149.1,1039.5,1045.2,1053.8,1043.3,1043.9,1040.6,1042.4,1057.3,1056.5,1038.1
23-04-25_09:44:50,lz4,65536,104857600,1,1062.82,1103445492,457056,32.798,0.004,-29.500,1.101,False,29.402,34.763,1065.4,1046.5,1040.8,1046.9,1036.0,1059.3,1023.7,1048.2,1046.5,1046.8,1191.1,1208.9,1057.6,1049.0,1049.7,1052.5,1044.3,1040.1,1047.3,1055.7
23-04-25_09:45:58,zstd,65536,52428800,1,917.05,1050014501,369140,14.585,4.846,-4.590,4.947,False,34.403,33.538,914.9,917.6,916.1,914.5,912.6,913.8,909.6,918.2,912.2,909.0,911.4,906.7,909.0,911.7,911.1,912.0,982.8,916.2,928.7,913.0
23-04-25_09:47:01,lz4,65536,52428800,2,1057.07,1103484969,410944,32.080,0.000,-16.435,5.215,False,29.455,33.711,1050.4,1047.6,1053.5,1055.4,1070.1,1044.1,1041.5,1051.4,1048.8,1044.3,1043.1,1038.7,1045.3,1063.1,1039.1,1053.3,1036.2,1060.6,1197.2,1057.9
23-04-25_09:48:04,lz4,65536,41943040,1,1025.66,1103488056,340392,28.156,-0.000,3.555,10.570,True,29.315,33.214,1022.5,1031.4,1027.1,1019.7,1025.6,1020.4,1014.8,1026.9,1035.0,1029.7,1030.2,1023.1,1022.1,1021.4,1028.1,1027.9,1018.7,1026.8,1026.4,1035.5
23-04-25_09:49:08,lz4,65536,41943040,2,1026.27,1103488056,366976,28.232,-0.000,-3.977,8.085,False,29.583,34.544,1092.2,1008.5,1017.7,1015.3,1009.2,1013.4,1000.7,1017.4,1011.6,1019.3,1021.0,1017.9,1138.3,1029.2,1015.5,1065.5,1000.4,1012.8,1006.3,1013.3
23-04-25_09:50:11,lz4,65536,52428800,1,1036.23,1103484969,371424,29.476,0.000,-5.237,8.080,False,29.506,33.057,1039.8,1032.5,1025.1,1037.2,1027.8,1019.2,1151.5,1025.3,1026.8,1032.9,1029.1,1028.2,1024.4,1040.0,1029.3,1034.4,1030.8,1020.3,1041.0,1029.2
